FPOGX,FPOGY,FPOGD
10,3,0.50915
10,8,0.34485
8,9,0.65698
10,9,0.4765
8,10,0.64063
8,8,0.26306
7,8,0.9364
9,8,0.55835
10,9,0.85437
9,9,0.49268
9,10,0.27911
11,10,0.55835
9,10,0.34485
8,6,0.21356
9,9,0.44366
8,9,0.24634
10,9,0.96942
10,9,0.31238
11,9,0.64075
10,7,0.75562
11,7,0.22968
14,7,0.26263
12,7,0.32843
10,6,0.46008
11,6,0.69012
11,6,0.37793
11,7,0.44336
11,8,0.7392
11,8,0.29553
14,9,0.24628
13,8,0.22998
11,7,0.29578
10,7,0.36139
9,7,0.55853
9,7,0.27954
10,8,0.36163
10,8,0.39423
10,8,0.32855
10,9,0.6734
15,10,0.31213
11,8,0.24622
11,10,0.29572
12,9,0.24628
16,10,0.27893
12,7,0.24664
10,6,0.32855
8,6,0.37811
13,9,0.24646
10,7,0.39526
9,6,0.4436
15,9,0.27924
11,6,0.29602
10,7,0.37683
16,8,0.31219
13,8,0.31238
11,9,0.27905
10,10,0.34515
14,11,0.34515
12,10,0.31207
15,10,0.19727
15,10,0.45959
15,10,0.24554
10,8,0.22998
8,9,0.42712
8,8,0.37787
8,8,0.3941
7,8,0.45972
7,8,0.36108
10,9,0.24628
10,9,0.60773
10,9,0.32861
11,9,0.32849
15,10,0.24628
14,9,0.42694
12,9,0.2467
8,8,0.26282
8,6,0.29578
11,7,0.22998
15,8,0.37781
12,8,0.22974
10,7,0.26288
8,7,0.37775
14,8,0.24701
14,8,0.27942
12,9,0.52594
14,9,0.19678
14,9,0.32886
13,9,0.36139
14,8,0.21375
15,8,0.29535
15,9,0.29559
11,8,0.27899
9,6,0.32855
9,6,0.23041
13,8,0.34521
12,8,0.41089
13,9,0.23016
15,9,0.31213
15,9,0.34528
13,8,0.32861
12,8,0.2464
15,8,0.32819
14,8,0.47644
13,8,0.3288
15,10,0.26288
16,10,0.29602
13,9,0.31219
11,10,0.26331
9,9,0.4762
12,13,0.19739
7,10,0.22998
5,13,0.27954
4,17,0.29547
8,10,0.32849
10,9,0.45978
11,9,0.39459
15,10,0.29565
12,10,0.32855
11,10,0.49316
15,11,0.42712
13,10,0.2464
11,10,0.32849
13,10,0.37799
13,10,0.41058
10,8,0.22992
8,8,0.29559
8,8,0.47467
8,8,0.34515
10,10,0.0824
10,9,0.50897
11,9,0.31213
15,11,0.2959
12,9,0.70624
15,10,0.21338
16,11,0.29553
11,9,0.24597
9,9,0.31207
12,9,0.19714
15,10,0.2135
14,10,0.24646
12,10,0.31213
11,10,0.37921
16,10,0.31226
12,6,0.31226
10,6,0.34479
10,7,0.24652
14,10,0.27899
12,9,0.29602
11,10,0.41095
14,9,0.22974
16,10,0.34515
14,9,0.3443
13,9,0.29565
16,8,0.31189
14,9,0.26282
12,8,0.34491
12,9,0.32837
15,9,0.29578
12,7,0.32806
10,6,0.31226
9,6,0.31232
13,7,0.23004
11,6,0.27869
10,6,0.36139
16,8,0.36176
13,6,0.23016
10,5,0.27924
10,6,0.2793
15,8,0.23004
15,8,0.22986
12,8,0.29565
14,7,0.21387
17,9,0.26318
16,10,0.27924
13,9,0.22998
10,9,0.26276
8,8,0.45996
8,8,0.24664
7,8,0.47614
7,8,0.41058
9,9,0.21362
10,9,0.27911
10,9,0.39331
11,8,0.41095
13,8,0.24652
11,7,0.2464
8,6,0.37799
8,6,0.64075
7,7,0.55884
8,8,0.26276
10,9,0.29584
11,9,0.23004
11,8,0.68988
9,7,0.27893
8,5,0.62463
8,5,0.23004
13,7,0.22992
14,7,0.26233
12,7,0.3288
11,6,0.36133
15,8,0.55835
13,7,0.41101
16,8,0.32874
14,7,0.36127
13,6,0.42719
13,7,0.39423
15,8,0.39429
13,7,0.31207
13,7,0.24652
14,6,0.29584
14,6,0.39441
14,5,0.62421
16,7,0.29565
13,6,0.22986
10,5,0.23016
8,4,0.37787
8,5,0.22949
13,6,0.31195
11,5,0.44336
10,6,0.34485
14,6,0.26288
12,5,0.29559
9,5,0.22998
7,5,0.49268
7,6,0.29565
12,8,0.31226
8,7,0.27936
11,10,0.39417
11,9,0.32867
13,9,0.4436
13,6,0.19696
10,4,0.32837
8,4,0.42731
15,6,0.26337
12,6,0.27948
12,5,0.57477
14,6,0.26288
13,5,0.22894
10,5,0.2627
8,4,0.78851
9,6,0.18103
10,7,0.24628
9,7,0.27924
10,8,0.87091
13,8,0.26276
14,9,0.34515
12,5,0.42725
8,6,0.32874
8,3,0.24652
7,9,0.2135
7,8,0.26288
9,7,0.27936
9,7,0.85437
12,8,0.21338
13,8,0.3772
11,8,0.36133
10,7,0.31232
