FPOGX,FPOGY,FPOGD
0.55139,0.11887,0.27924
0.51698,0.14517,0.22998
0.52211,0.12255,0.32849
0.36176,0.64006,0.22998
0.2617,0.96921,0.39401
0.13548,0.95795,0.72272
0.48955,0.55285,0.31229
0.48164,0.53221,0.27924
0.46186,0.60619,0.0491
0.53089,0.7596,0.27924
0.54599,0.75021,0.21384
0.54333,0.80154,0.77213
0.5584,0.66169,0.26318
0.69073,0.72916,0.62411
0.52807,0.6052,0.80469
0.42964,0.57407,0.67346
0.48122,0.6193,0.68997
0.46773,0.57675,0.36139
0.48862,0.5205,0.39435
0.51508,0.58908,0.34488
0.50848,0.6121,0.54221
0.51279,0.54587,1.59317
0.53178,0.60622,0.44363
0.51847,0.67925,0.59164
0.57926,0.76535,0.427
0.54115,0.81734,0.72284
0.61062,0.81574,0.42712
0.75929,0.77384,0.23001
0.79596,0.75861,0.32855
0.70467,0.69132,0.27927
0.71885,0.56924,0.21347
0.72063,0.50055,0.27921
0.7675,0.41603,0.44336
0.81764,0.52566,0.21341
0.74365,0.63577,0.23013
0.60698,0.70012,0.24637
0.55515,0.68845,0.263
0.58873,0.51695,0.42715
0.55315,0.67527,0.19684
0.53522,0.60084,0.21341
0.54733,0.55584,0.19711
0.58018,0.84835,0.44376
0.49743,0.79555,0.41074
0.49498,0.83477,0.45999
0.61237,0.80826,0.29544
0.60317,0.85579,0.32849
0.53236,0.86237,0.8215
0.51347,0.8603,0.3945
0.65099,0.77646,0.22983
0.65613,0.68123,0.24652
0.62494,0.6186,0.27939
0.64039,0.55315,0.27927
0.63082,0.48976,0.42703
0.55507,0.56352,0.27924
0.48447,0.65177,0.26276
0.44969,0.82031,0.27884
0.43806,0.82089,0.27939
0.45126,0.76885,0.21341
0.45653,0.72951,0.29559
0.43441,0.86744,0.34525
0.49686,0.77797,0.39435
0.51602,0.72409,0.50925
0.49609,0.75694,0.26282
0.54027,0.90142,0.45999
0.49451,0.66653,0.2135
0.46558,0.59287,0.62424
0.49023,0.61883,0.54214
0.44138,0.55654,0.41055
0.54459,0.58892,0.57489
0.49263,0.59749,1.13275
0.48503,0.53929,0.27914
0.43416,0.49465,0.31238
0.54665,0.27846,0.21362
0.39445,0.5029,0.41074
0.38441,0.64373,0.21359
0.26995,0.84537,0.27908
0.46415,0.59103,0.41061
0.49169,0.57769,0.34506
0.58494,0.51412,0.22989
0.59073,0.53147,0.21378
0.53152,0.67328,0.2135
0.60633,0.81155,0.26263
0.67025,0.80895,0.4765
0.54452,0.8124,0.29474
0.45351,0.83411,0.60773
0.44621,0.84049,0.57483
0.45238,0.83997,0.6405
0.42008,0.80084,0.31213
0.46056,0.74054,0.42725
0.46322,0.72115,0.31213
0.42452,0.82598,1.10059
0.46053,0.70107,0.37787
0.52593,0.62796,0.80511
0.50946,0.59224,0.54218
0.423,0.48056,0.34491
0.45447,0.49921,0.24622
0.53543,0.55977,0.2464
0.46527,0.66259,0.21381
0.38966,0.60991,0.21344
0.4611,0.59149,0.50922
0.59557,0.66721,0.21362
0.78881,0.81239,0.32837
0.67413,0.8127,0.2464
0.66879,0.8429,0.49261
0.55458,0.81266,0.82141
0.55839,0.83531,2.29987
0.50012,0.7729,0.229
0.54897,0.77624,0.6734
0.49257,0.57637,1.26501
0.39253,0.52398,0.50909
0.38921,0.51721,0.44348
0.28894,0.82583,0.26288
0.4856,0.73673,0.32874
0.65127,0.76513,0.2793
0.77077,0.8351,0.42688
0.6433,0.82714,0.24658
0.57044,0.81586,0.31195
0.52893,0.83061,0.54187
0.47658,0.81373,0.21356
0.65311,0.76264,0.21381
0.72352,0.67953,0.39441
0.77036,0.682,0.50897
0.8089,0.75049,0.2464
0.83116,0.80036,0.29584
0.84307,0.73534,0.44348
0.70146,0.67024,0.2627
0.55106,0.62527,0.39386
0.5609,0.63886,1.01862
0.71677,0.84348,0.29565
0.61765,0.85065,0.39417
0.6805,0.82327,0.70618
0.79894,0.82594,0.31213
0.82215,0.74696,0.26288
0.7407,0.70162,0.32788
0.73652,0.52186,0.2796
0.76105,0.41564,0.22992
0.74052,0.44009,0.31207
0.83696,0.42112,0.27924
0.77287,0.39179,0.29559
0.62333,0.58305,0.31232
0.61299,0.5429,0.37769
0.75244,0.67534,0.19727
0.58056,0.79595,0.60748
0.55297,0.76458,0.54187
0.58531,0.72477,0.93616
0.58518,0.72532,1.10083
0.62495,0.73485,0.41058
0.5515,0.75232,0.27899
