FPOGX,FPOGY,FPOGD
10,4,0.29572
9,7,0.27911
10,8,0.2464
7,13,0.27905
5,15,0.31213
4,12,0.2135
9,6,0.26276
15,14,0.29559
14,15,0.2464
9,14,0.2135
6,15,0.23016
5,15,0.37799
10,16,0.23029
12,12,0.23004
14,10,0.31213
8,6,0.42725
4,7,0.24615
3,8,0.29565
11,12,0.1969
15,14,0.24652
15,15,0.29572
10,9,0.21381
5,4,0.27942
4,4,0.24774
6,9,0.1972
14,13,0.263
15,11,0.04938
15,3,0.14783
15,7,0.36108
5,7,0.27924
4,13,0.21375
5,16,0.21375
13,12,0.32874
15,12,0.27942
11,14,0.24634
8,13,0.2301
3,7,0.23016
3,7,0.26276
14,13,0.27838
16,14,0.31213
12,8,0.22992
9,8,0.263
6,14,0.19678
4,16,0.36121
12,8,0.24622
14,8,0.22986
15,11,0.27911
11,11,0.19739
5,15,0.2627
4,13,0.21539
4,12,0.21375
10,12,0.21368
14,12,0.21356
15,11,0.26379
10,9,0.21399
5,9,0.23016
3,9,0.24646
2,9,0.24628
14,14,0.26288
15,15,0.41052
12,14,0.19714
5,12,0.24664
4,10,0.27789
3,9,0.24652
13,13,0.09851
15,16,0.31226
14,16,0.26288
11,14,0.21362
6,9,0.19745
3,7,0.37787
5,6,0.21338
11,4,0.11511
14,10,0.263
14,10,0.34485
6,13,0.2464
3,12,0.2298
3,9,0.29572
13,8,0.19727
15,7,0.41064
10,4,0.24622
6,4,0.21362
3,8,0.21356
7,7,0.13141
13,13,0.22986
15,14,0.29559
11,7,0.26263
7,6,0.19702
4,5,0.32831
11,6,0.17914
16,7,0.34503
10,8,0.26294
4,8,0.24622
5,10,0.2135
10,9,0.36121
16,7,0.36133
10,5,0.26318
5,8,0.24628
4,9,0.27936
9,7,0.2627
15,13,0.19708
15,15,0.26282
6,6,0.19733
5,7,0.22974
4,11,0.19708
4,14,0.23029
10,8,0.2627
16,10,0.24652
14,12,0.24652
7,6,0.1969
4,13,0.23029
5,16,0.31201
14,11,0.19666
15,13,0.2959
10,15,0.22998
5,13,0.27954
4,12,0.23022
5,9,0.19714
10,6,0.21344
14,5,0.19714
17,7,0.22986
13,12,0.19714
5,14,0.29559
3,9,0.29578
5,7,0.21375
10,4,0.21356
13,7,0.19714
15,10,0.32892
9,10,0.22986
5,11,0.29565
4,11,0.26288
4,10,0.06598
10,5,0.29578
16,8,0.27924
15,10,0.23004
9,11,0.2464
5,14,0.55847
14,13,0.08203
15,13,0.59113
11,9,0.2135
7,4,0.22986
4,4,0.22974
4,5,0.27924
15,15,0.24609
15,15,0.29553
9,11,0.24634
4,8,0.263
3,7,0.24652
8,5,0.23016
13,13,0.263
16,12,0.24634
10,8,0.34497
4,14,0.23016
4,14,0.29578
10,6,0.24646
15,11,0.2301
13,15,0.21375
6,9,0.21362
3,4,0.37793
