FPOGX,FPOGY,FPOGD
0.51396,0.07473,0.26251
0.50959,0.11446,0.42731
0.35611,0.47077,0.52576
0.47728,0.44898,0.2959
0.43685,0.38954,0.36151
0.46593,0.41863,0.31213
0.52399,0.45933,0.22998
0.36252,0.51832,0.2301
0.30425,0.52723,0.73926
0.36714,0.34643,0.39435
0.63035,0.24223,0.27911
0.72198,0.30482,0.21356
0.8033,0.44868,0.26294
0.79441,0.50602,0.263
0.30699,0.68878,0.4931
0.13438,0.56355,0.2627
0.31206,0.38062,0.19727
0.54633,0.20757,0.27924
0.76758,0.35803,0.21362
0.85224,0.5521,0.24646
0.73979,0.60485,0.21387
0.57062,0.61106,0.23004
0.22466,0.69023,0.2301
0.17402,0.75592,0.42712
0.48591,0.69307,0.32843
0.79334,0.66662,0.37775
0.81674,0.5989,0.29559
0.54783,0.41063,0.21362
0.40008,0.33583,0.2464
0.20842,0.20733,0.54211
0.46795,0.28813,0.19708
0.59073,0.40526,0.24646
0.83673,0.63244,0.34485
0.70555,0.6402,0.19696
0.50719,0.54281,0.24646
0.19802,0.53401,0.37799
0.18988,0.51743,0.27954
0.54621,0.41394,0.19733
0.78763,0.34554,0.22998
0.8548,0.30006,0.36108
0.76437,0.28172,0.21381
0.56184,0.24502,0.27936
0.31051,0.21326,0.24622
0.16098,0.20714,0.27881
0.29236,0.16057,0.21375
0.53751,0.1475,0.26282
0.80002,0.14728,0.31213
0.84629,0.2026,0.36163
0.45521,0.50838,0.36151
0.24116,0.75195,0.36115
0.25635,0.56756,0.2135
0.50802,0.27476,0.19714
0.77553,0.16861,0.42712
0.85449,0.30493,0.27936
0.647,0.43302,0.19727
0.23271,0.67431,0.32849
0.16337,0.67612,0.27924
0.15962,0.54339,0.36151
0.80921,0.36314,0.22968
0.84109,0.22649,0.27936
0.85979,0.2359,0.2627
0.81146,0.46627,0.21381
0.54795,0.50977,0.24628
0.20506,0.69263,0.64069
0.57028,0.5301,0.31226
0.70904,0.40166,0.34479
0.82349,0.38079,0.67389
0.83033,0.37561,0.29578
0.7471,0.3539,1.11725
0.86708,0.50879,0.29553
0.89236,0.67357,0.34509
0.779,0.50394,0.2135
0.42218,0.4164,0.41071
0.6144,0.71161,0.85388
0.69547,0.51086,0.36127
0.39175,0.47239,0.34485
0.70455,0.49373,0.83771
0.7167,0.49147,0.60779
0.81026,0.56026,0.41064
0.89523,0.48228,2.0368
0.73765,0.40324,0.39429
0.85286,0.55316,0.4433
0.43928,0.46169,0.19714
0.18274,0.31388,0.27948
0.26049,0.27257,0.22955
0.56485,0.19653,0.29553
0.82194,0.20271,0.22998
0.88382,0.25162,0.62421
0.85527,0.36927,0.22974
0.45967,0.45523,0.4436
0.73474,0.70017,0.27936
0.82511,0.70211,0.32874
0.81018,0.70828,0.27911
0.63325,0.62599,0.26294
0.20894,0.523,0.2301
0.1295,0.3952,0.24597
0.29956,0.27335,0.19702
0.7425,0.30113,0.36133
0.82797,0.52336,0.34497
0.3092,0.692,0.32874
0.1715,0.75763,0.37769
0.62387,0.68368,0.2135
0.81794,0.73757,0.26282
0.86352,0.74591,0.31226
0.58347,0.60387,0.24646
0.36634,0.55282,0.19727
0.18388,0.54042,0.22974
0.28792,0.45752,0.19714
0.73085,0.20689,0.23083
0.83998,0.14732,0.22986
0.89656,0.16378,0.427
0.73932,0.4158,0.19714
0.18573,0.64267,0.24634
0.24146,0.6946,0.22998
0.55963,0.63632,0.27917
0.83299,0.57782,0.31213
0.81892,0.51192,0.2793
0.32571,0.42711,0.22949
0.22656,0.38793,0.27942
0.1945,0.32881,0.26318
0.53579,0.20464,0.2135
0.78148,0.14886,0.24622
0.86773,0.17152,0.39429
0.53959,0.33972,0.22998
0.23289,0.57122,0.22974
0.18109,0.72806,0.2627
0.61594,0.5815,0.21326
0.7535,0.35512,0.21338
0.8584,0.2408,0.24634
0.7908,0.2777,0.2135
0.3841,0.58685,0.26282
0.16821,0.76296,0.29565
0.30078,0.70592,0.19714
0.66293,0.59654,0.19727
0.81707,0.5406,0.21375
0.85185,0.48412,0.34485
0.51028,0.58163,0.2135
0.23946,0.77575,0.24634
0.15779,0.7784,0.29565
0.33032,0.67347,0.19702
0.77714,0.7234,0.31213
0.86081,0.76921,0.37793
0.5598,0.58316,0.21375
0.21797,0.4169,0.2467
0.16845,0.29546,0.26306
0.50003,0.18979,0.2793
0.76753,0.18941,0.2301
0.82764,0.38543,0.2627
0.51155,0.45929,0.22998
0.18787,0.52024,0.2959
0.20223,0.58102,0.26331
0.46832,0.60512,0.22974
0.81932,0.64154,2.3656
0.88466,0.56074,0.34521
0.84336,0.49962,0.34473
0.60438,0.41418,0.57544
0.76749,0.64752,0.26294
0.83538,0.63085,0.22998
0.88163,0.42629,0.50916
0.66812,0.41187,0.26294
0.32008,0.57233,0.19727
0.39144,0.67797,0.19714
0.715,0.68838,0.26294
0.83406,0.7135,0.2793
0.85793,0.65732,0.31226
0.46355,0.6319,0.22986
0.19268,0.6266,0.54187
0.6356,0.51542,0.19714
0.80738,0.5105,0.26282
0.87545,0.49368,0.34485
0.82889,0.49821,0.04919
0.49291,0.63602,0.23022
0.17757,0.73979,0.54175
0.61194,0.55713,0.22961
0.83315,0.5432,0.31226
0.83185,0.48758,0.32861
0.56955,0.54858,0.06604
0.23787,0.59566,0.24683
0.17161,0.63536,0.3938
0.48471,0.62704,0.24622
0.74071,0.70575,0.24646
0.86507,0.69038,0.27917
0.86707,0.69869,0.37793
0.58802,0.46539,0.2135
0.19114,0.50024,0.36169
