FPOGX,FPOGY,FPOGD
5,19,0.60773
6,15,0.19714
9,10,0.55847
11,11,0.44348
11,12,0.4765
11,12,0.96924
9,11,0.67352
9,9,0.09875
9,6,0.4765
8,7,0.22998
8,9,0.2627
8,13,0.27911
7,15,0.2464
8,14,0.57526
8,17,0.59125
9,16,0.36139
9,2,0.46002
9,4,0.57501
10,5,0.34497
9,17,0.27899
9,17,1.3797
7,16,0.21368
7,1,0.37775
6,4,0.45972
7,16,0.77216
7,17,1.42914
8,15,0.19708
8,7,0.09851
7,16,0.4762
7,16,0.22998
9,13,0.19708
8,7,0.34503
9,8,0.26312
9,13,0.19672
8,15,0.27911
6,16,0.39429
9,15,0.32855
10,15,0.60797
11,15,0.54242
11,15,0.45984
12,14,0.31226
10,15,0.57501
8,15,0.47626
6,16,0.36133
7,8,0.19733
7,8,0.22992
7,15,0.24664
8,14,0.52576
7,14,0.37775
7,7,0.39435
6,14,0.83801
6,7,0.19708
6,5,0.37787
6,15,0.54199
5,15,0.34546
6,14,0.37775
9,14,0.39429
11,14,0.34515
10,14,0.31201
11,14,0.67334
10,14,0.27911
8,14,0.41046
6,14,0.21375
6,14,0.427
6,15,0.29553
8,13,0.34473
9,13,0.39398
7,12,0.44336
6,14,0.24664
5,16,0.22986
6,14,0.47656
3,9,0.21368
4,12,0.19678
5,14,0.27954
5,8,0.73907
5,10,0.22998
5,14,0.42725
10,15,0.42712
11,15,0.2464
10,9,0.19714
11,5,0.27924
11,9,0.27966
8,15,0.22998
5,16,0.42682
6,15,0.24646
10,14,0.22974
7,5,0.41077
5,13,0.98572
10,10,0.2464
10,6,0.24683
10,15,0.27936
10,14,0.36096
11,15,0.47638
10,15,0.34515
6,17,0.26306
8,17,0.21344
11,15,0.09882
11,4,0.2464
10,7,0.19714
9,16,0.34491
8,16,0.42712
5,17,0.263
6,16,0.2301
6,6,0.32867
7,9,0.19696
8,16,0.62439
9,5,0.19696
9,7,0.19708
7,16,0.26343
9,15,0.19708
11,15,0.32861
10,11,0.19714
11,5,0.31213
9,13,0.21405
5,15,0.31219
7,14,0.55853
7,11,0.36139
8,13,0.36115
7,13,0.2298
6,15,0.39423
8,11,0.32892
8,12,0.27948
8,10,0.32855
8,6,0.21381
8,5,0.21362
8,11,0.22986
6,15,0.36151
7,9,0.22998
7,2,0.31201
6,3,0.24634
6,14,0.65698
7,13,0.2627
8,7,0.60791
8,9,0.11469
8,8,0.5257
8,6,0.52576
18,9,0.19714
11,7,0.6734
10,12,0.52545
11,13,0.29559
9,13,0.23035
5,15,0.26288
10,12,0.22998
9,6,0.21375
10,4,0.29578
11,4,0.37799
10,13,0.34497
9,10,0.31207
7,14,0.2301
5,15,0.37817
7,13,0.2135
11,11,0.37775
6,14,0.36151
9,13,0.31201
9,9,0.19714
6,3,0.64075
6,15,0.2627
6,14,0.27905
9,12,0.52576
5,14,0.78876
6,13,0.2464
11,9,1.46216
11,5,0.24622
5,14,0.26288
6,13,0.23035
9,13,0.427
9,14,0.45996
10,8,0.22986
9,6,0.32867
9,6,0.26263
10,5,0.44348
9,13,0.41034
8,16,0.22986
6,14,0.22986
10,6,0.41064
9,15,0.68994
8,16,0.22974
6,17,0.36139
5,17,0.45972
6,6,0.24646
6,7,0.19696
5,17,0.29553
6,16,0.47644
5,16,0.44318
8,12,0.24622
9,10,0.21362
11,9,0.29559
10,17,0.57501
10,16,0.427
9,14,0.2135
7,11,0.49298
7,11,0.2959
6,14,0.37781
6,14,0.57513
8,10,0.24622
8,10,0.26257
8,10,0.3288
7,10,0.2301
9,9,0.21338
10,14,0.26245
7,10,0.85406
7,7,0.19696
6,5,0.39453
8,17,0.27936
6,17,0.34497
5,15,0.39447
10,15,0.27924
9,7,0.36151
10,17,0.29559
10,16,0.4765
9,16,0.37787
10,8,0.21332
11,7,0.2298
10,16,0.34473
7,16,0.24628
5,15,0.27954
8,13,0.19727
11,10,0.24622
8,10,0.57507
8,9,0.24634
7,9,0.54187
5,15,0.42719
5,15,0.31213
6,11,0.19751
8,9,0.19708
10,15,0.27881
10,14,0.04913
10,9,0.31213
5,13,0.34485
7,11,0.2301
6,10,0.19714
8,6,0.27924
8,5,0.46002
9,12,0.23004
9,16,0.37762
9,16,0.85431
9,15,0.42694
9,15,0.27948
6,16,0.34528
11,11,0.37787
12,10,0.62451
8,17,0.26288
7,16,0.26288
9,14,0.27924
7,9,0.22998
7,7,0.45966
7,16,0.26318
6,15,0.24628
9,15,0.19708
9,14,0.24622
7,7,0.39447
7,16,0.31226
6,16,0.39423
8,16,0.57501
10,5,0.39453
10,6,0.26276
9,16,0.26276
9,16,0.85425
6,15,0.42688
7,5,0.60809
7,9,0.21338
6,14,0.60803
6,14,0.39459
7,13,0.50928
7,13,0.54224
7,12,0.47632
6,3,0.42706
7,12,0.31201
6,12,0.60785
8,10,0.2135
7,11,0.21332
6,11,0.37787
6,8,0.23016
7,7,0.26288
