FPOGX,FPOGY,FPOGD
0.52663,0.01447,0.04932
0.54905,0.02975,0.04932
0.22503,0.94814,0.59131
0.41574,0.84981,0.19678
0.58884,0.71749,0.27917
0.55078,0.71588,0.42737
0.54854,0.51909,0.31201
0.51512,0.4788,0.2301
0.35207,0.24461,0.64075
0.27,0.28634,0.87048
0.32817,0.40376,1.13367
0.32709,0.41959,0.57495
0.48921,0.50421,0.36121
0.38014,0.46916,0.59143
0.33269,0.53808,0.39429
0.34429,0.18919,0.39429
0.38361,0.20188,0.24646
0.43794,0.24658,0.37793
0.46827,0.33487,0.27905
0.48559,0.61301,0.26282
0.33297,0.77266,0.29602
0.48074,0.71942,0.39429
0.40166,0.75147,0.2135
0.31244,0.76938,0.24634
0.31946,0.77629,0.27917
0.38696,0.59293,0.19702
0.36004,0.47797,0.31213
0.2962,0.79188,0.46021
0.37908,0.73154,0.24658
0.48014,0.70706,0.37793
0.49373,0.65143,0.2135
0.48588,0.11213,0.36145
0.50933,0.24601,0.2959
0.50456,0.35436,0.22998
0.43009,0.70703,0.24658
0.33849,0.74372,0.24658
0.27117,0.77207,0.4436
0.26899,0.80272,0.34497
0.35397,0.13194,0.26306
0.29673,0.12465,0.3446
0.28368,0.77731,0.34497
0.2845,0.72479,0.57471
0.30881,0.74782,0.22986
0.36664,0.78584,0.2793
0.29454,0.74848,0.55835
0.31839,0.33889,0.22986
0.45042,0.80991,0.22986
0.43812,0.78775,0.29565
0.31529,0.72162,0.37781
0.44542,0.56876,0.19714
0.46188,0.15845,0.29602
0.47032,0.74944,0.80481
0.44754,0.74438,0.52563
0.42279,0.73356,0.72266
0.44336,0.71037,0.26294
0.41155,0.72016,0.37769
0.46575,0.66243,0.4104
0.51067,0.63431,0.49268
0.50678,0.54519,0.42725
0.49858,0.30979,0.19714
0.49395,0.12807,0.36133
0.38457,0.6239,0.21362
0.33645,0.72379,0.21338
0.50091,0.49969,0.21362
0.50102,0.48736,0.42725
0.43263,0.52044,0.06567
0.23822,0.70622,0.31201
0.28177,0.22269,0.34497
0.40894,0.62389,0.24622
0.41794,0.64759,0.21252
0.33771,0.7109,0.59119
0.3717,0.39234,0.2135
0.29156,0.65015,0.34485
0.46805,0.48863,0.36121
0.42045,0.50815,0.64063
0.41727,0.61661,0.2135
0.31945,0.68151,0.22986
0.28982,0.65395,0.42725
0.48346,0.49862,0.59131
0.29548,0.66244,0.22998
0.3354,0.66376,0.4436
0.34681,0.67725,0.29565
0.23705,0.63102,0.45984
0.25815,0.65528,0.39441
0.38523,0.56659,0.2135
0.48652,0.50347,0.27917
0.36855,0.60327,0.21362
0.30076,0.69068,0.37781
0.30727,0.64299,0.37781
0.26985,0.62962,0.42712
0.47095,0.54248,0.22986
0.30845,0.63565,0.37781
0.26512,0.60387,0.39441
0.2573,0.58102,0.44348
0.29163,0.55243,0.49304
0.36673,0.42939,0.427
0.48062,0.42451,0.37781
0.43714,0.58489,0.19666
0.30193,0.66753,0.22986
0.27419,0.62517,0.37781
0.26713,0.58,0.91992
0.4512,0.43678,0.21362
0.35101,0.65555,0.24646
0.38883,0.51535,0.21338
0.62908,0.18126,0.22998
0.39663,0.48972,0.24646
0.30222,0.48392,0.4928
0.30897,0.51866,0.27954
0.34735,0.58809,0.39429
0.33716,0.5459,0.54187
0.31673,0.46375,0.31238
0.41339,0.42199,0.22998
0.41457,0.13853,0.37781
0.40773,0.17286,0.22986
0.39989,0.31875,0.26294
0.37797,0.57254,0.59155
0.35529,0.56632,0.54175
0.29707,0.56573,0.24646
0.28878,0.46049,0.2301
0.30838,0.41809,0.2301
0.28002,0.44246,0.36169
0.41331,0.54353,0.32874
0.37648,0.58457,0.47559
0.41949,0.57472,0.32837
0.40085,0.44953,0.21362
0.40867,0.33966,0.32886
0.39236,0.61961,0.29565
0.32986,0.5403,0.32874
0.30685,0.5899,0.2793
0.40228,0.59649,0.47632
0.37914,0.6085,0.22986
0.33943,0.58395,0.27917
0.27982,0.56691,0.36157
0.25749,0.56054,0.55847
0.46781,0.75189,0.29565
0.33937,0.67937,0.29565
0.3066,0.54254,0.50916
0.30918,0.48466,0.45996
0.31811,0.52304,0.26294
0.33302,0.41775,0.26294
0.34747,0.64132,0.36133
0.29178,0.46722,0.39429
0.2941,0.43059,0.73914
0.33862,0.55801,0.21362
0.4234,0.59288,0.22998
0.26186,0.41374,0.26318
0.23093,0.41064,0.24646
0.40977,0.75185,0.34509
0.39734,0.72722,0.39417
0.51768,0.64549,0.27942
0.39712,0.48203,0.49292
