MEDIA_ID,MEDIA_NAME,CNT,TIME(2015/11/19 16:40:32.319),TIMETICK(f=3117236),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,
0,Games,5,0.08194,50266492383,0.49226,0.24100,0.00000,0.08194,1,1,0.50169,0.53622,1,0.49766,0.08398,0,,0.31561,0.51614,16.70522,0.98841,1,0.66473,0.49137,15.65721,0.98943,1,
0,Games,18,0.29544,50267157877,0.56505,0.28344,0.09845,0.19699,2,1,0.86467,0.70865,1,0.49766,0.08398,0,,0.31952,0.50954,17.00495,1.00422,1,0.66841,0.48754,16.16658,1.00533,1,
0,Games,38,0.62415,50268182534,0.48297,0.52245,0.41043,0.21371,3,1,0.50778,0.48788,1,0.45937,0.26660,0,,0.32599,0.50976,17.71341,0.98798,1,0.67610,0.48817,15.16901,0.98371,1,
0,Games,88,1.44568,50270743502,0.47513,0.47841,0.64056,0.80511,4,1,0.70548,0.36864,1,0.48672,0.43945,0,,0.33896,0.49837,20.90491,1.04157,1,0.69191,0.48120,17.82089,1.04268,1,
0,Games,106,1.74118,50271664559,0.64352,0.28503,1.51102,0.23016,5,1,0.54384,0.15224,1,0.48672,0.43945,0,,0.32259,0.50620,20.92454,1.04157,1,0.67478,0.48296,17.87003,1.04268,1,
0,Games,125,2.05328,50272637530,0.44018,0.22476,1.80692,0.24637,6,1,0.31940,0.20272,1,0.48672,0.43945,0,,0.30873,0.51897,21.62703,1.03080,1,0.65987,0.48718,18.91110,1.02653,1,
0,Games,158,2.59540,50274327422,0.31621,0.19529,2.07022,0.52518,7,1,0.06015,-0.27237,0,0.48672,0.43945,0,,0.30923,0.52801,17.94855,0.99918,0,0.65712,0.47957,7.91135,1.00559,0,
0,Games,206,3.38403,50276785777,0.35301,0.63904,2.95679,0.42725,8,1,0.33352,0.60592,1,0.48672,0.43945,0,,0.29899,0.55805,22.92056,1.04157,1,0.65011,0.50831,18.87695,1.04268,1,
0,Games,231,3.79465,50278065761,0.37028,0.62195,3.40027,0.39438,9,1,0.50295,0.61290,1,0.48672,0.43945,0,,0.31082,0.56108,22.32125,0.99037,1,0.66166,0.50986,19.37510,0.99149,1,
0,Games,259,4.25464,50279499648,0.77645,0.46735,3.86029,0.39435,10,1,0.61396,0.46282,1,0.48672,0.43945,0,,0.31347,0.56452,23.13997,1.00926,1,0.66423,0.51198,18.52682,1.01037,1,
