MEDIA_ID,MEDIA_NAME,CNT,TIME(2015/11/18 17:33:00.524),TIMETICK(f=3117216),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,
0,Games,31,0.50916,68743790959,0.50680,0.16606,0.00000,0.50915,1,1,0.51511,0.30922,1,0.52188,0.26563,0,,0.26214,0.18997,17.91377,0.93302,1,0.64490,0.19644,17.75178,0.93702,1,
0,Games,56,0.91986,68745071346,0.50868,0.42765,0.57501,0.34485,2,1,0.41462,0.48105,1,0.53047,0.33789,0,,0.26251,0.19597,18.05448,0.94217,1,0.64746,0.19684,17.38980,0.94217,1,
0,Games,97,1.59338,68747170715,0.40024,0.47218,0.93640,0.65698,3,1,0.39021,0.52784,1,0.52109,0.35254,0,,0.26425,0.21083,19.16105,0.92159,1,0.65133,0.20966,17.85940,0.92159,1,
0,Games,130,2.13574,68748861477,0.54498,0.49120,1.65924,0.47650,4,1,0.50561,0.50832,1,0.52109,0.35254,0,,0.25135,0.21285,21.11546,0.91302,1,0.63810,0.20315,18.64459,0.91302,1,
0,Games,170,2.79279,68750909506,0.43171,0.52175,2.15216,0.64063,5,1,0.41926,0.75257,1,0.50625,0.37109,0,,0.24821,0.22193,16.10453,0.95417,1,0.63322,0.21363,15.50886,0.95017,1,
0,Games,205,3.36780,68752701982,0.42835,0.41117,3.10474,0.26306,6,1,0.42225,0.41467,1,0.52109,0.39844,0,,0.24864,0.22060,20.52015,0.94674,1,0.63350,0.21672,19.05072,0.95131,1,
0,Games,263,4.32037,68755671364,0.39796,0.44403,3.38397,0.93640,7,1,0.48756,0.45616,1,0.50469,0.44043,0,,0.24593,0.23021,21.35998,0.91759,1,0.63029,0.22301,18.79098,0.92617,1,
0,Games,298,4.89539,68757463795,0.49396,0.44554,4.33704,0.55835,8,1,0.53841,0.46130,1,0.55313,0.44434,0,,0.25183,0.22969,22.01498,0.93474,1,0.63537,0.22354,18.96841,0.93074,1,
0,Games,351,5.76624,68760178443,0.54068,0.47789,4.91187,0.85437,9,1,0.51693,0.51671,1,0.54062,0.45703,0,,0.26135,0.22743,22.37626,0.97245,1,0.64590,0.22278,18.74840,0.97645,1,
0,Games,382,6.27533,68761765463,0.48793,0.49983,5.78265,0.49268,10,1,0.45026,0.47747,1,0.54062,0.45703,0,,0.24905,0.23310,23.85815,0.96674,1,0.63429,0.22368,20.92646,0.97074,1,
0,Games,400,6.57098,68762686964,0.47845,0.51297,6.29187,0.27911,11,1,0.59575,0.48435,1,0.54062,0.45703,0,,0.25555,0.22994,20.95815,0.92559,1,0.63985,0.22167,19.06183,0.92559,1,
