MEDIA_ID,MEDIA_NAME,CNT,TIME(2015/11/18 12:48:14.481),TIMETICK(f=3117216),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,
0,Games,37,0.60785,15483097242,0.55650,0.21910,0.00000,0.60785,1,1,0.60810,0.15632,1,0.49375,0.15625,0,,0.22751,0.51465,15.29019,0.91750,1,0.55820,0.45604,12.98277,0.90938,1,
0,Games,56,0.91998,15484070237,0.56695,0.20334,0.62421,0.29578,2,1,0.45631,0.31551,1,0.47266,0.29492,0,,0.21098,0.51886,13.82003,0.84252,1,0.54058,0.46355,12.93019,0.83030,1,
0,Games,76,1.24847,15485094190,0.44456,0.40809,0.98563,0.26285,3,1,0.34908,0.63827,1,0.37187,0.49121,0,,0.21868,0.50496,14.65132,0.88744,1,0.55170,0.46143,14.34058,0.87411,1,
0,Games,94,1.54422,15486016110,0.32817,0.76140,1.31436,0.22986,4,1,0.29893,0.77302,1,0.35469,0.80273,0,,0.20839,0.50755,17.07827,0.77647,1,0.54276,0.44669,16.06747,0.76887,1,
0,Games,127,2.08633,15487706005,0.24915,0.80843,1.56061,0.52573,5,1,0.49492,0.61445,1,0.37344,0.77539,0,,0.21387,0.50867,13.72805,0.77873,1,0.55211,0.45201,14.24099,0.77085,1,
0,Games,144,2.36584,15488577304,0.53840,0.50370,2.15222,0.21362,6,1,0.58996,0.42313,1,0.40156,0.66016,0,,0.25130,0.48246,15.57773,0.79955,1,0.58781,0.45303,15.04654,0.78733,1,
0,Games,159,2.61234,15489345669,0.64126,0.40622,2.38211,0.23022,7,1,0.70928,0.46938,1,0.40938,0.61621,0,,0.27265,0.48076,16.34506,0.78852,1,0.60865,0.46029,15.56846,0.78092,1,
0,Games,174,2.85880,15490113884,0.75850,0.46146,2.62845,0.23035,8,1,0.75884,0.54694,1,0.39922,0.72949,0,,0.28427,0.48639,17.65643,0.79955,1,0.62033,0.46955,16.38921,0.78733,1,
0,Games,189,3.10495,15490881258,0.69131,0.60818,2.87494,0.23001,9,1,0.56242,0.64703,1,0.39687,0.79688,0,,0.26974,0.49689,18.58959,0.81340,1,0.60712,0.47328,16.96001,0.80117,1,
0,Games,202,3.31833,15491546371,0.46679,0.55894,3.12134,0.19699,10,1,0.37319,0.47642,1,0.42812,0.68066,0,,0.25152,0.49819,17.88153,0.79220,1,0.58895,0.46669,16.20003,0.77998,1,
0,Games,219,3.59769,15492417207,0.26033,0.37926,3.38434,0.21335,11,1,0.19520,0.25337,1,0.42891,0.31738,0,,0.23438,0.49587,18.27101,0.79955,1,0.57073,0.45421,16.11428,0.79194,1,
0,Games,243,3.99182,15493645828,0.18091,0.21525,3.66345,0.32837,12,1,0.30719,0.28860,1,0.42969,0.24316,0,,0.22718,0.49304,15.80415,0.77929,1,0.56392,0.45226,15.38669,0.76707,1,
0,Games,259,4.25510,15494466454,0.66211,0.70977,4.05759,0.19751,13,1,0.64095,0.68520,1,0.44766,0.41211,0,,0.24646,0.50069,16.10925,0.84935,1,0.58236,0.46834,15.10525,0.83602,1,
0,Games,274,4.50122,15495233699,0.68254,0.60713,4.27121,0.23001,14,1,0.74890,0.60510,1,0.50000,0.59766,0,,0.26788,0.49065,17.21375,0.84200,1,0.60306,0.46707,15.06367,0.82867,1,
0,Games,279,4.58322,15495489290,0.74595,0.61578,4.51755,0.06567,15,1,0.80308,0.63949,1,0.50078,0.61816,0,,0.27421,0.49058,17.36344,0.83176,1,0.60946,0.46974,15.94077,0.81954,1,
0,Games,301,4.94485,15496616590,0.76200,0.67008,4.69818,0.24667,16,1,0.64199,0.68923,1,0.50391,0.69727,0,,0.27660,0.49635,18.99157,0.81046,1,0.61300,0.47512,16.79332,0.79278,1,
0,Games,316,5.19119,15497384537,0.58969,0.67890,4.96118,0.23001,17,1,0.44454,0.62430,1,0.50078,0.65332,0,,0.25788,0.50291,17.82771,0.81251,1,0.59306,0.47382,15.81222,0.79484,1,
0,Games,320,5.25684,15497589137,0.48345,0.67418,5.20746,0.04938,18,1,0.46605,0.66832,1,0.50078,0.64453,0,,0.19834,0.50089,3.27094,0.81960,1,0.58977,0.47172,15.39194,0.80738,1,
