FPOGX,FPOGY,FPOGD
1,15,0.41059
5,19,0.44348
9,11,0.41104
9,8,0.42691
8,6,0.23013
7,5,0.52588
7,4,0.29587
7,12,0.59137
14,10,0.26303
15,9,0.23001
7,6,0.73911
18,10,0.13153
12,5,0.21359
9,4,0.27911
8,4,0.39453
13,7,0.19702
13,8,0.19693
9,6,0.59164
8,6,0.26273
15,6,0.23019
9,3,0.27927
8,4,0.41077
10,5,0.21347
12,10,0.19705
8,12,0.70627
12,10,0.1315
17,9,0.21359
12,10,0.31229
9,9,0.27936
9,9,0.26303
16,8,0.29547
11,9,0.34515
9,9,0.39423
9,9,0.0491
18,9,0.27921
15,9,0.24634
11,9,0.32828
11,10,0.14801
15,7,0.21365
10,4,0.36151
7,4,0.54227
7,16,0.19711
4,18,0.26273
16,18,0.32846
18,19,0.32834
6,9,0.23016
8,8,0.24622
9,8,0.59137
8,7,0.24625
8,4,0.4436
11,4,0.19711
14,6,0.32858
14,6,0.0986
14,7,0.39441
14,9,0.19699
10,4,0.24658
8,3,0.3942
17,8,0.31213
14,9,0.27936
12,11,0.19681
17,10,0.27948
16,10,0.18076
8,14,0.24628
17,10,0.26291
16,9,0.27911
12,10,0.1973
9,10,0.41086
12,10,0.19711
15,9,0.2464
11,5,0.29562
8,4,0.29556
8,5,0.39423
13,9,0.21323
8,12,0.62442
17,8,0.44333
11,9,0.29559
9,10,0.36151
10,10,0.0491
18,9,0.31198
15,9,0.24637
13,9,0.3121
15,8,0.21307
17,8,0.29599
12,6,0.19711
9,5,0.31201
17,8,0.29575
17,8,0.24625
11,3,0.26328
8,2,0.27917
14,6,0.22986
16,8,0.27954
11,11,0.29575
10,11,0.37787
9,11,0.27924
14,9,0.22998
10,7,0.34473
9,6,0.45996
16,6,0.2464
12,11,0.27927
6,16,0.22983
16,9,0.3447
14,9,0.2135
8,11,0.62421
9,11,0.04898
16,13,0.29559
13,12,0.3121
11,11,0.26303
8,11,0.29562
16,10,0.24649
14,9,0.26276
11,8,0.26291
11,9,0.22986
17,11,0.26291
16,10,0.23001
11,8,0.26276
9,8,0.246
8,8,0.34488
15,9,0.24664
11,7,0.27896
9,7,0.39423
14,6,0.39444
11,6,0.24637
9,7,0.24625
5,19,0.32849
9,11,0.24649
9,7,0.32849
9,7,0.26263
10,9,0.49286
8,14,0.46011
8,15,0.67386
13,10,0.27908
11,10,0.29572
10,10,0.27921
17,10,0.2796
15,9,0.22974
12,7,0.26285
10,6,0.3121
9,6,0.29556
16,6,0.22998
11,2,0.31229
9,2,0.34512
9,3,0.21335
14,10,0.2959
12,9,0.29575
10,9,0.36151
8,9,0.50873
7,9,0.49286
7,8,0.42712
7,8,0.52563
8,8,0.4436
8,8,0.3447
8,11,0.19727
8,9,0.45987
8,9,0.16446
8,9,1.23227
7,11,1.21539
