FPOGX,FPOGY,FPOGD
11,4,0.23029
9,3,0.2959
8,4,0.29596
12,6,0.29572
9,6,0.39441
8,6,0.50928
14,10,0.26306
11,10,0.26276
9,9,0.42682
16,9,0.32843
11,10,0.2959
9,11,0.19727
9,11,0.04932
16,11,0.24622
13,7,0.24664
9,6,0.31226
8,6,0.32831
10,6,0.27954
9,5,0.67328
9,6,0.27893
14,9,0.2464
10,11,0.29547
9,11,0.29572
17,7,0.47662
10,5,0.32837
8,5,0.67377
5,18,0.45984
16,18,0.29559
7,7,0.50946
9,17,0.22998
5,19,0.32849
8,9,0.32892
8,8,0.64075
7,5,0.34485
8,7,0.31201
13,7,0.19727
7,6,0.31195
7,6,0.45984
9,6,0.21368
12,7,0.19727
8,6,0.29596
7,5,0.29559
7,5,1.24841
7,5,0.41046
8,7,0.37775
10,6,0.44348
9,7,0.29712
8,5,0.26294
7,4,0.39423
7,4,0.39441
14,5,0.2301
10,3,0.32837
8,3,0.52551
9,4,0.05219
11,6,0.23016
8,7,0.14807
8,5,0.49249
13,6,0.2135
7,4,0.29547
8,5,0.62408
10,7,0.32855
9,9,0.4928
10,9,0.29553
15,8,0.26288
10,10,0.29584
8,10,0.31207
8,10,0.31207
14,9,0.21362
9,8,0.19727
9,7,0.27905
8,13,0.1972
15,7,0.2627
11,8,0.32855
10,8,0.31207
16,8,0.29572
8,6,0.41064
8,7,0.29572
14,9,0.23004
7,7,0.36127
8,7,0.32849
11,7,0.19714
13,8,0.21338
8,7,0.29535
8,7,0.32849
11,8,0.1983
13,8,0.28076
7,10,0.42743
7,11,0.27887
12,8,0.19708
14,8,0.21362
9,6,0.21313
8,4,0.24646
15,7,0.27887
16,6,0.26239
9,9,0.21338
8,10,0.54193
16,8,0.22998
14,10,0.09851
10,7,0.31201
8,6,0.36121
10,6,0.27911
16,9,0.21387
12,6,0.27905
10,7,0.31226
8,7,0.29578
13,9,0.19696
7,9,0.13147
5,18,0.65698
6,17,0.22998
7,9,0.42664
7,9,0.32886
9,8,0.36102
8,4,0.36139
11,2,0.57526
12,3,0.2135
10,6,0.19745
7,6,0.31213
7,6,0.50909
13,11,0.2135
8,12,0.69049
7,13,0.2793
12,9,0.31183
10,7,0.22992
7,6,0.37744
8,6,0.22998
13,7,0.22986
8,6,0.55878
8,6,0.29559
10,7,0.21381
6,8,0.06592
8,4,0.26276
9,4,0.29559
13,8,0.2301
10,10,0.39435
11,10,0.21368
17,9,0.41064
9,6,0.32867
8,5,0.47882
17,6,0.2959
7,6,0.26282
8,7,0.31238
10,6,0.29529
15,6,0.2309
10,4,0.27948
8,3,0.427
11,5,0.21375
15,6,0.27911
9,9,0.34576
9,9,0.27893
17,9,0.24646
5,18,0.93604
10,2,0.31201
12,0,0.50928
