FPOGX,FPOGY,FPOGD
14,11,0.34504
12,11,0.39424
11,11,0.36179
16,11,0.31198
14,11,0.32874
13,11,0.54212
13,10,0.24657
12,9,0.36143
12,9,0.24638
14,10,0.27936
13,9,0.31171
11,7,0.29515
8,7,0.34485
9,6,0.04923
15,8,0.24638
14,9,0.21367
11,7,0.41077
14,7,0.19724
15,7,0.37785
14,6,0.2136
11,6,0.263
8,11,0.41064
7,15,0.24636
9,9,0.22985
7,9,0.49288
10,10,0.29587
13,9,0.5091
14,9,0.26289
10,10,0.32893
10,10,0.26273
15,10,0.36139
12,10,0.32903
10,10,0.31212
9,11,0.22986
15,11,0.27924
12,9,0.21331
9,10,0.36124
8,10,0.62411
7,10,0.34486
11,10,0.32863
11,9,0.64061
10,10,0.47608
11,10,0.22985
12,10,0.47655
13,8,0.24652
11,7,0.29586
10,7,0.49291
12,7,0.22988
12,8,0.44352
12,8,0.44387
13,8,0.32841
13,7,0.29584
10,7,0.26311
7,8,0.44339
7,9,0.3447
8,8,0.7394
8,8,0.29546
7,9,0.49287
9,9,0.2794
12,10,0.64094
14,10,0.36113
12,9,0.34496
12,9,0.46038
15,10,0.29573
11,10,0.29699
9,11,0.44346
13,10,0.32849
12,9,0.26286
12,8,0.41087
13,10,0.60774
11,11,0.29573
9,11,0.29574
10,10,0.21362
14,10,0.2136
13,11,0.2626
11,10,0.27935
9,11,0.47638
14,10,0.3121
13,10,0.32849
13,10,0.24648
15,10,0.37787
13,10,0.31226
10,10,0.29556
12,11,0.21362
13,11,0.24636
14,11,0.29588
12,9,0.29553
10,9,0.32628
10,9,0.23002
14,8,0.26289
12,7,0.27935
9,7,0.29557
8,6,0.57527
10,8,0.34487
9,9,0.62414
10,10,1.29795
14,9,0.34513
13,9,0.32834
15,9,0.34498
15,9,0.26274
14,10,0.22997
12,10,0.29523
11,10,0.31208
16,11,0.42697
14,11,0.24625
12,10,0.26302
13,10,0.24646
16,11,0.29594
14,11,0.29549
12,11,0.27924
11,11,0.26294
10,10,0.32851
9,10,0.37763
9,10,0.47681
10,11,0.3941
11,10,0.62396
14,11,0.27911
10,12,0.27914
8,13,0.39426
8,13,0.09839
10,11,0.32873
9,11,0.34499
11,11,0.72301
12,10,0.54237
13,9,0.32836
14,11,0.57471
16,11,0.32835
13,12,0.24635
10,14,0.27937
9,15,0.45985
15,12,0.22993
11,10,0.2794
8,11,0.52563
7,12,0.41047
9,10,0.06577
8,12,0.21364
7,11,0.49286
10,10,0.34513
12,10,0.27938
14,10,0.36136
14,8,0.22997
10,7,0.24664
8,5,0.41061
9,6,0.21358
13,6,0.27928
11,5,0.29538
10,5,0.34377
15,8,0.32849
12,7,0.27931
10,10,0.21364
10,12,0.24648
15,11,0.2946
13,11,0.26289
11,11,0.37773
12,11,0.21378
16,11,0.31226
14,11,0.36101
11,11,0.23004
8,11,0.24623
10,3,0.2296
10,1,0.85425
