FPOGX,FPOGY,FPOGD
11,0,0.42711
11,3,0.19724
11,8,0.55875
14,9,0.19748
15,10,0.27937
11,8,0.32848
13,9,0.19699
14,10,0.34497
13,8,0.22989
11,7,0.32846
11,7,0.29564
14,7,0.3779
14,7,0.24657
11,6,0.27916
13,6,0.21335
15,6,0.36134
14,6,0.22986
12,5,0.27905
9,4,0.24646
8,3,0.44344
15,5,0.24608
12,4,0.31227
9,4,0.27908
8,4,0.34496
15,5,0.21123
12,4,0.27937
9,4,0.27924
9,5,0.26302
15,6,0.26276
12,4,0.24667
9,4,0.27934
7,4,0.26274
7,5,0.32857
7,4,0.8871
10,9,0.26262
9,7,0.39426
12,9,0.26259
16,9,0.24632
13,7,0.27924
9,5,0.31197
8,6,0.3614
14,7,0.26277
11,7,0.24608
9,7,0.29549
8,7,0.41064
9,7,0.31212
10,8,0.37785
12,8,0.34497
15,8,0.44377
13,8,0.21321
11,8,0.31201
9,7,0.26303
7,8,0.46043
7,8,0.39424
8,9,0.2296
11,9,0.88696
15,9,0.37761
10,8,0.29564
8,7,0.26288
8,7,0.29561
13,7,0.29593
11,6,0.34477
9,4,0.27898
9,4,0.26273
15,6,0.24632
12,4,0.31224
10,4,0.27936
8,4,0.59134
8,5,0.3121
7,6,0.13135
7,5,0.608
12,10,0.27951
15,9,0.22997
15,8,0.2135
12,6,0.23032
12,5,0.31212
17,8,0.29579
15,8,0.24649
13,9,0.27946
12,9,0.32852
15,9,0.2135
17,9,0.24635
12,7,0.31209
12,7,0.26401
16,8,0.19685
17,9,0.34531
14,9,0.27922
11,9,0.27821
13,8,0.21347
14,9,0.27913
16,9,0.24651
13,9,0.26273
12,9,0.42737
16,9,0.27914
14,8,0.23029
11,9,0.22998
9,11,0.31209
8,11,0.32843
12,9,0.13177
9,10,0.50906
8,10,0.22998
10,9,0.42697
13,9,0.21362
16,8,0.22984
13,6,0.29604
10,6,0.31212
11,7,0.21361
15,9,0.2957
13,8,0.31227
14,8,0.2133
16,8,0.23
17,9,0.3286
11,12,0.29578
9,12,0.42737
9,7,0.09773
10,3,0.29578
9,9,0.26297
10,10,0.59138
13,9,0.49287
14,9,0.22987
12,7,0.32863
13,8,0.21342
14,8,0.32864
14,8,0.27925
12,6,0.31229
11,6,0.31206
15,7,0.29547
15,8,0.22989
11,7,0.21349
9,7,0.29555
9,7,0.32832
16,9,0.24666
12,7,0.22984
10,7,0.39436
13,7,0.19724
16,8,0.23021
12,6,0.26302
10,6,0.36148
10,6,0.21333
14,7,0.26286
11,5,0.34497
9,5,0.27927
10,5,0.21353
16,8,0.26306
11,7,0.27908
9,7,0.32848
9,7,0.29573
10,6,0.75542
8,7,0.42725
15,8,0.31195
13,8,0.26273
10,7,0.37778
16,8,0.32875
13,9,0.26317
11,8,0.29567
12,9,0.24657
15,8,0.2299
16,8,0.26314
12,7,0.27893
11,7,0.36147
16,9,0.32861
14,8,0.21349
12,8,0.24643
9,8,0.29572
9,8,0.27899
13,9,0.2959
12,9,0.29587
10,10,0.31236
11,10,0.21313
15,9,0.41061
14,9,0.32857
16,9,0.32852
16,9,0.22969
15,9,0.27882
