FPOGX,FPOGY,FPOGD
13,4,0.27954
18,5,0.32867
14,4,0.19702
10,5,0.2135
4,10,0.26312
6,10,0.19708
14,8,0.34479
16,6,0.32861
11,3,0.23029
6,3,0.21375
3,5,0.31213
14,11,0.3288
18,14,0.24652
13,12,0.19696
7,12,0.19727
2,8,0.24664
4,7,0.19714
13,5,0.22974
17,4,0.36133
14,4,0.21387
6,4,0.23029
3,4,0.31219
7,7,0.16455
13,11,0.263
17,8,0.27893
11,4,0.23016
8,6,0.08209
3,13,0.45935
17,9,0.24652
17,15,0.44348
8,8,0.1972
4,6,0.24622
6,5,0.19727
15,6,0.21362
17,7,0.41101
14,8,0.19751
8,10,0.21362
3,14,0.41077
12,14,0.19714
17,11,0.37744
10,5,0.19714
5,3,0.2793
4,6,0.21356
19,7,0.32867
13,5,0.21338
9,6,0.19696
4,9,0.2959
16,7,0.22968
17,4,0.32831
13,11,0.19714
7,10,0.19696
3,5,0.2796
11,3,0.21375
16,6,0.19727
9,6,0.19727
4,6,0.27948
6,5,0.19708
16,3,0.24615
17,3,0.4104
10,3,0.2135
5,3,0.29584
7,7,0.19739
14,11,0.21381
16,11,0.32825
11,11,0.19708
5,4,0.19708
3,4,0.26251
12,9,0.26276
17,14,0.31195
9,14,0.21338
3,15,0.22998
4,13,0.21344
13,7,0.21344
16,7,0.26288
10,12,0.19702
4,4,0.21338
3,4,0.41028
14,5,0.24652
17,12,0.26276
9,13,0.21381
5,10,0.22974
3,8,0.263
11,9,0.08191
15,6,0.50922
10,9,0.2135
7,10,0.2301
4,11,0.2627
8,11,0.19714
15,8,0.32831
16,5,0.50922
11,9,0.21332
6,11,0.24652
4,12,0.41064
14,9,0.36115
17,10,0.29559
14,13,0.19702
5,10,0.3288
2,10,0.26276
4,10,0.19714
15,6,0.21387
16,3,0.54224
12,5,0.19708
8,3,0.22986
5,3,0.26294
3,3,0.27948
10,11,0.31232
18,8,0.39435
11,5,0.26257
5,12,0.29559
4,11,0.34467
4,9,0.06549
16,8,0.50903
15,7,0.31183
10,2,0.2464
6,2,0.21375
3,4,0.37787
12,2,0.29547
17,10,0.31195
16,11,0.24664
9,14,0.24683
6,14,0.26263
5,14,1.42944
5,5,0.39423
2,8,0.19727
2,12,0.29559
12,9,0.24591
16,11,0.32825
10,9,0.21356
5,9,0.24603
3,8,0.39423
15,10,0.77228
12,13,0.22974
7,12,0.24664
4,9,0.19727
3,5,0.24646
13,5,0.39435
18,11,0.2301
11,12,0.21362
5,7,0.2301
3,5,0.49304
12,8,0.34509
10,9,0.2793
9,11,0.2301
6,10,0.24622
4,7,0.263
6,5,0.19708
8,5,0.04932
14,5,0.46002
16,8,0.29553
9,13,0.26312
5,10,0.23016
2,7,0.29584
16,6,0.22986
17,4,0.27942
17,5,0.27924
14,6,0.21338
8,8,0.22998
4,10,0.21344
5,11,0.19696
16,13,0.55878
11,14,0.22974
7,10,0.19714
3,8,0.21375
3,6,0.24664
10,6,0.24646
16,7,0.24646
16,7,0.27917
10,3,0.23041
7,4,0.21368
3,6,0.29565
6,8,0.19696
14,12,0.19727
16,14,0.50903
10,16,0.21368
5,13,0.21344
2,12,0.41052
5,15,0.19714
4,18,0.57458
10,2,0.29565
10,1,0.29608
10,3,0.06531
