FPOGX,FPOGY,FPOGD
2,19,1.00183
8,11,0.26257
3,11,0.41086
4,9,0.21362
5,9,0.3945
9,5,0.263
13,9,0.24649
8,14,0.24652
5,15,0.21344
2,16,0.44348
10,8,0.06561
14,8,0.26288
15,12,0.21344
9,12,0.21365
4,5,0.21338
3,4,0.52588
2,14,0.19711
13,11,0.29562
12,15,0.1987
6,14,0.21359
3,12,0.22971
0,12,0.19711
14,9,0.06592
6,10,0.19711
12,9,0.19739
16,10,0.41074
13,14,0.22998
9,13,0.21378
4,6,0.23053
3,5,0.3118
11,7,0.27963
16,7,0.29562
14,7,0.29572
11,7,0.23029
6,7,0.24643
4,9,0.36176
11,6,0.27939
16,8,0.49286
10,11,0.2135
7,13,0.24661
3,14,0.27924
6,11,0.19717
13,5,0.22986
16,6,0.39438
13,13,0.22989
7,15,0.26282
3,14,0.22998
2,13,0.2793
16,10,0.31204
14,12,0.19751
8,12,0.21362
4,10,0.263
2,9,0.27924
9,9,0.24664
16,12,0.2616
17,10,0.24634
8,4,0.22989
5,13,0.24637
3,15,0.245
12,7,0.49292
16,11,0.22952
13,13,0.19687
9,11,0.21338
4,8,0.24649
4,8,0.27924
12,10,0.24628
17,11,0.41061
10,4,0.23001
7,8,0.19711
4,14,0.41086
11,5,0.26276
14,6,0.26282
13,7,0.2291
7,9,0.24649
5,7,0.23038
3,5,0.44339
14,11,0.22983
17,12,0.32849
8,7,0.29605
5,14,0.29562
4,12,0.22986
10,9,0.24622
14,10,0.41083
13,10,0.04962
9,13,0.21359
5,13,0.22998
3,13,0.29572
11,8,0.32837
17,12,0.34512
11,9,0.21347
6,7,0.24637
2,12,0.42709
11,8,0.36124
12,13,0.26276
6,14,0.2626
3,12,0.24673
5,11,0.21359
15,8,0.19739
17,7,0.24637
16,6,0.32864
12,8,0.23038
7,10,0.24634
4,12,0.41061
13,6,0.26285
15,4,0.11514
15,7,0.24622
10,13,0.2627
5,14,0.24637
3,10,0.26291
13,5,0.22986
12,7,0.22995
16,12,0.36166
11,15,0.23001
5,15,0.26285
3,14,0.36163
10,5,0.21213
14,7,0.21362
16,11,0.29587
12,13,0.23001
6,10,0.2464
3,7,0.32858
10,6,0.31207
17,13,0.27798
15,13,0.23001
10,13,0.26276
4,13,0.42712
1,10,0.18082
15,14,0.19714
18,13,0.23001
11,10,0.23004
6,9,0.26288
3,7,0.29578
13,8,0.31213
17,11,0.29553
14,12,0.2135
8,14,0.24606
5,15,0.26288
4,15,0.27939
14,11,0.24652
17,14,0.26273
16,14,0.22836
9,13,0.23001
6,12,0.21347
3,12,0.50937
12,13,0.23016
17,8,0.32834
13,4,0.19711
7,5,0.22995
4,8,0.263
3,8,0.37924
9,10,0.47635
11,11,0.19595
6,9,0.24649
4,9,0.21347
3,8,0.27927
12,10,0.26263
17,12,0.31198
16,13,0.26285
10,14,0.24652
6,14,0.24655
4,14,0.44363
13,7,0.22995
16,5,0.5914
9,5,0.24625
6,5,0.22998
3,5,0.39413
12,7,0.19702
18,14,0.31226
17,15,0.39423
10,11,0.19714
4,6,0.26276
3,5,0.32874
15,10,0.45999
18,13,0.26288
13,15,0.19724
7,9,0.21353
3,6,0.263
5,6,0.21362
11,11,0.11487
16,14,0.42743
15,10,0.19702
9,5,0.31213
5,6,0.2135
3,8,0.34488
13,11,0.27936
16,12,0.4762
9,11,0.246
4,10,0.2464
