FPOGX,FPOGY,FPOGD
10,1,0.60788
10,6,0.34476
3,11,0.24622
2,12,0.27927
9,6,0.19699
12,5,0.23001
17,11,0.21365
15,11,0.21371
10,7,0.21353
4,4,0.26288
3,4,0.3121
12,10,0.24521
16,9,0.23013
17,6,0.2627
9,6,0.21362
4,12,0.26273
2,8,0.21359
3,6,0.24612
12,8,0.27939
17,9,0.24652
16,5,0.45975
5,11,0.23001
3,13,0.29572
12,10,0.21371
16,11,0.21335
17,13,0.34512
13,14,0.21375
4,12,0.26285
1,11,0.37778
11,5,0.3121
17,8,0.37775
9,12,0.24625
3,9,0.246
3,7,0.26285
8,6,0.24625
15,12,0.24664
17,11,0.34497
10,5,0.24625
4,11,0.23001
2,15,0.24637
14,8,0.04938
17,6,0.39426
10,8,0.22998
3,9,0.21323
2,7,0.21381
2,6,0.3121
14,7,0.22989
16,11,0.29559
10,12,0.21359
5,10,0.21381
2,9,0.31226
4,7,0.21344
10,9,0.19791
16,11,0.21365
17,10,0.23013
14,5,0.21375
12,6,0.04913
7,10,0.21362
3,14,0.263
2,11,0.21365
5,8,0.11499
15,8,0.24826
17,12,0.263
9,10,0.21378
4,9,0.23001
2,8,0.37811
5,6,0.21365
14,11,0.26266
18,12,0.27939
13,6,0.23013
8,6,0.21393
2,15,0.27927
5,10,0.19724
10,3,0.26288
18,10,0.24646
16,12,0.2139
8,6,0.19724
5,6,0.21368
2,11,0.22849
3,12,0.24625
11,6,0.22998
16,9,0.3125
6,5,0.21359
5,5,0.32846
2,12,0.26276
6,12,0.19714
13,11,0.21365
17,11,0.31232
12,10,0.23001
6,8,0.22986
3,8,0.24652
4,7,0.21378
9,4,0.24628
15,10,0.26288
16,11,0.26263
9,12,0.21353
3,14,0.31219
2,15,0.42712
11,6,0.27951
18,11,0.26288
14,10,0.19699
7,6,0.26273
3,12,0.27911
3,11,0.24634
10,5,0.2135
17,10,0.24649
17,11,0.24637
7,5,0.31198
3,7,0.1969
2,11,0.3121
16,10,0.28119
17,10,0.29584
12,10,0.21347
5,9,0.23004
2,8,0.5256
10,5,0.23001
16,6,0.2301
17,6,0.34488
11,7,0.23026
3,10,0.32849
2,11,0.345
10,11,0.21387
17,10,0.27921
18,8,0.27917
11,5,0.21335
8,5,0.22998
3,10,0.21365
3,11,0.26315
10,5,0.22998
16,7,0.24652
17,13,0.27899
7,9,0.19724
4,6,0.21368
3,5,0.46014
10,8,0.19727
14,12,0.23001
17,9,0.21552
13,5,0.21371
11,6,0.06573
4,12,0.22989
2,11,0.42697
10,9,0.23004
16,11,0.19699
17,11,0.32886
8,6,0.2626
4,6,0.24649
2,6,0.26276
10,5,0.22971
15,11,0.19711
17,8,0.2135
15,5,0.21371
7,9,0.19711
3,11,0.50845
8,4,0.24637
15,8,0.19696
18,12,0.36157
6,6,0.22986
4,5,0.24634
3,4,0.44363
15,10,0.22998
17,11,0.39426
12,6,0.21365
8,6,0.19699
2,14,0.19696
2,14,0.2301
13,5,0.24649
17,5,0.39435
10,4,0.21329
6,8,0.19711
3,11,0.34521
10,4,0.24658
15,4,0.2135
17,9,0.24652
10,10,0.22989
3,12,0.24652
2,12,0.26288
9,6,0.22992
17,11,0.3121
18,12,0.32837
11,8,0.22998
3,13,0.21359
3,14,0.2464
11,12,0.3121
17,11,0.37775
11,10,0.2135
6,12,0.19724
2,13,0.54236
10,12,0.22998
18,10,0.37759
10,6,0.21356
5,4,0.29587
2,4,0.32672
4,6,0.21375
13,12,0.24622
17,7,0.21344
