FPOGX,FPOGY,FPOGD
11,8,0.21326
16,12,0.24622
14,11,0.2301
9,10,0.21375
6,11,0.2135
3,8,0.31213
10,6,0.24646
16,7,0.24634
16,6,0.24634
10,6,0.22998
6,9,0.21362
3,12,0.26282
10,10,0.2301
15,13,0.22998
15,12,0.24622
10,5,0.23022
6,7,0.2301
4,9,0.34485
12,7,0.2135
15,7,0.24646
15,7,0.26306
9,6,0.2301
4,7,0.23022
4,8,0.24622
12,6,0.29565
16,8,0.37744
11,8,0.1969
6,6,0.2301
3,6,0.2301
3,5,0.24622
15,13,0.23047
13,12,0.21484
8,10,0.2301
4,12,0.52576
12,13,0.27869
15,14,0.29553
7,9,0.19702
5,8,0.26477
4,7,0.27942
9,5,0.2467
15,11,0.39404
9,10,0.24646
5,11,0.26294
3,12,0.26294
12,8,0.26257
15,6,0.37793
7,4,0.26294
5,6,0.22974
4,7,0.27917
12,4,0.27942
16,7,0.31201
11,9,0.21301
5,15,0.2135
5,17,0.24658
10,15,0.2135
15,16,0.41138
8,8,0.24646
4,12,0.19702
4,14,0.31201
11,9,0.36145
11,8,0.526
9,9,0.32849
8,10,0.2135
9,10,0.37769
9,9,0.88684
10,9,0.31213
9,10,0.39429
8,9,0.41064
4,10,0.46008
14,11,0.37793
11,13,0.21362
7,15,0.22986
5,17,0.44373
11,16,0.27917
15,16,0.42834
12,16,0.21375
8,17,0.24646
4,17,0.37769
9,7,0.21326
13,8,0.21338
15,7,0.32861
14,7,0.21338
9,7,0.22998
6,14,0.19727
4,17,0.26294
9,7,0.19714
11,7,0.24646
15,6,0.36145
13,6,0.23022
8,9,0.26282
3,11,0.2301
2,13,0.09863
11,13,0.21362
15,15,0.37793
9,11,0.23035
6,9,0.21313
3,9,0.26294
11,4,0.21338
15,7,0.21375
15,9,0.21069
10,7,0.24646
5,5,0.21399
3,5,0.24646
14,4,0.42712
16,6,0.32849
11,7,0.22986
6,8,0.26294
4,10,0.32849
13,8,0.34509
16,7,0.34509
13,6,0.21362
7,6,0.23035
2,8,0.21387
5,8,0.21362
10,8,0.2135
16,11,0.37769
8,11,0.22986
5,9,0.19739
4,8,0.4436
10,8,0.32861
16,10,0.41077
10,7,0.19727
7,6,0.2627
3,7,0.37793
13,9,0.31238
15,11,0.24634
10,11,0.21289
5,16,0.27917
5,16,0.36169
13,14,0.22998
15,15,0.37769
11,11,0.19678
8,5,0.04883
5,15,0.24646
5,16,0.29578
11,10,0.21362
14,8,0.21362
15,8,0.26294
10,7,0.21375
6,7,0.2135
4,7,0.36133
9,6,0.22998
15,14,0.26294
13,16,0.22986
5,10,0.21375
3,8,0.27942
12,9,0.29578
15,7,0.21362
15,6,0.44373
7,11,0.22998
4,15,0.34497
11,10,0.22998
12,8,0.08191
15,9,0.34521
11,12,0.24658
4,7,0.2467
4,6,0.34485
8,8,0.08191
10,13,0.2135
16,11,0.27942
12,7,0.19727
9,8,0.2627
5,12,0.2135
5,16,0.24646
14,11,0.27905
16,8,0.2301
16,8,0.27954
11,8,0.19702
7,11,0.24622
4,17,0.26355
7,14,0.16418
11,6,0.2301
15,14,0.22998
15,15,0.26282
7,6,0.26306
4,10,0.21362
7,12,0.1969
13,10,0.29541
13,7,0.36145
11,7,0.2135
7,8,0.22986
4,9,0.2301
3,7,0.27905
9,4,0.39404
11,4,0.4762
11,3,0.85425
11,3,0.39441
11,4,0.32849
