FPOGX,FPOGY,FPOGD
6,3,0.64075
6,15,0.2627
6,14,0.27905
9,12,0.52576
5,14,0.78876
6,13,0.2464
11,9,1.46216
11,5,0.24622
5,14,0.26288
6,13,0.23035
9,13,0.427
9,14,0.45996
10,8,0.22986
9,6,0.32867
9,6,0.26263
10,5,0.44348
9,13,0.41034
8,16,0.22986
6,14,0.22986
10,6,0.41064
9,15,0.68994
8,16,0.22974
6,17,0.36139
5,17,0.45972
6,6,0.24646
6,7,0.19696
5,17,0.29553
6,16,0.47644
5,16,0.44318
8,12,0.24622
9,10,0.21362
11,9,0.29559
10,17,0.57501
10,16,0.427
9,14,0.2135
7,11,0.49298
7,11,0.2959
6,14,0.37781
6,14,0.57513
8,10,0.24622
8,10,0.26257
8,10,0.3288
7,10,0.2301
9,9,0.21338
10,14,0.26245
7,10,0.85406
7,7,0.19696
6,5,0.39453
8,17,0.27936
6,17,0.34497
5,15,0.39447
10,15,0.27924
9,7,0.36151
10,17,0.29559
10,16,0.4765
9,16,0.37787
10,8,0.21332
11,7,0.2298
10,16,0.34473
7,16,0.24628
5,15,0.27954
8,13,0.19727
11,10,0.24622
8,10,0.57507
8,9,0.24634
7,9,0.54187
5,15,0.42719
5,15,0.31213
6,11,0.19751
8,9,0.19708
10,15,0.27881
10,14,0.04913
10,9,0.31213
5,13,0.34485
7,11,0.2301
6,10,0.19714
8,6,0.27924
8,5,0.46002
9,12,0.23004
9,16,0.37762
9,16,0.85431
9,15,0.42694
9,15,0.27948
6,16,0.34528
11,11,0.37787
12,10,0.62451
8,17,0.26288
7,16,0.26288
9,14,0.27924
7,9,0.22998
7,7,0.45966
7,16,0.26318
6,15,0.24628
9,15,0.19708
9,14,0.24622
7,7,0.39447
7,16,0.31226
6,16,0.39423
8,16,0.57501
10,5,0.39453
10,6,0.26276
9,16,0.26276
9,16,0.85425
6,15,0.42688
7,5,0.60809
7,9,0.21338
6,14,0.60803
6,14,0.39459
7,13,0.50928
7,13,0.54224
7,12,0.47632
6,3,0.42706
7,12,0.31201
6,12,0.60785
8,10,0.2135
7,11,0.21332
6,11,0.37787
6,8,0.23016
7,7,0.26288
7,11,0.65765
6,11,0.41071
6,11,0.36176
6,10,0.41071
6,11,0.36151
7,10,0.29596
10,10,0.36121
6,11,0.29541
10,14,0.31226
10,10,0.37775
11,9,0.64105
9,7,0.22974
7,10,0.21338
8,9,0.21332
11,7,1.01831
8,7,0.29547
7,9,0.21332
7,8,0.2959
9,14,0.21362
7,7,0.41101
8,5,0.78851
10,5,0.64056
7,5,0.31226
6,5,0.72296
6,10,0.32849
6,10,0.36066
6,10,0.59143
6,8,0.65717
6,7,0.72284
6,6,1.15002
7,5,1.13336
7,4,0.82153
7,5,0.39429
11,3,0.31213
10,2,0.36133
10,1,0.26233
