FPOGX,FPOGY,FPOGD
9,8,0.26276
11,16,0.36163
10,11,0.32867
10,15,0.34485
9,17,0.44354
7,16,0.27924
7,9,0.23004
6,17,0.54199
7,12,0.70648
7,16,0.37775
7,13,0.67334
7,16,0.37756
7,17,0.50806
8,17,0.29578
6,16,0.36139
6,8,0.31213
5,7,0.32849
10,17,0.32904
8,16,0.46051
9,9,0.21381
10,7,0.50952
9,8,0.32855
11,11,0.21338
12,13,0.41077
8,16,0.37787
8,16,0.04926
9,8,0.24646
10,15,0.2464
9,9,0.57501
10,12,0.19727
10,15,0.47626
10,16,0.49274
11,15,0.31226
11,7,0.54211
12,7,0.2464
11,15,0.24646
8,16,0.47638
8,6,0.57465
8,9,0.22992
8,16,0.32867
7,16,0.83789
8,8,0.2959
9,11,0.19684
10,17,0.32861
11,16,0.18073
11,13,0.31226
12,9,0.60785
11,14,0.08185
10,15,0.22992
8,17,0.26282
7,7,0.32849
6,7,0.36151
7,16,0.67365
7,16,0.39423
6,15,0.21338
8,6,0.57501
10,15,0.36121
10,10,0.19708
9,8,0.37781
9,11,0.2627
9,16,0.41058
9,16,0.42737
10,16,0.46008
8,15,0.36151
8,9,0.65698
7,17,0.32861
8,14,0.19696
9,7,0.22998
8,5,0.47742
7,5,0.32843
6,13,0.22998
5,9,0.32849
8,16,0.68982
9,15,0.23004
8,7,0.21375
8,17,0.67358
7,12,0.19745
7,8,0.23004
8,8,0.29565
6,10,0.26276
6,12,0.26288
9,17,0.27954
9,18,0.24652
7,17,0.04932
7,11,0.27924
10,16,0.75549
10,14,0.22992
10,14,0.47638
11,18,0.55859
9,18,0.41064
7,17,0.23016
9,17,0.19714
11,17,0.24652
9,7,0.2793
8,9,0.04926
6,16,0.31219
6,14,0.41064
6,14,0.23029
8,16,0.44348
8,16,0.37787
8,15,0.21375
8,9,0.45996
8,10,0.52557
9,12,0.24646
10,16,1.13354
10,17,0.29578
9,16,0.24634
8,16,0.22998
7,15,0.27917
7,15,0.57495
9,16,0.32849
10,16,0.34509
8,16,0.41077
7,15,0.32861
10,16,0.42712
9,5,0.50903
10,14,0.22998
11,16,0.31213
8,15,0.29565
10,16,0.32837
11,17,0.57495
11,13,0.09851
11,7,0.42712
11,15,0.7063
9,15,0.21375
6,14,0.65735
6,10,0.72253
8,14,0.45996
9,15,0.34509
11,14,0.42737
11,15,0.41077
11,15,0.32886
11,15,0.29663
10,15,1.01843
10,12,0.21362
9,13,0.2135
9,13,0.21411
9,12,0.55835
11,10,0.21326
12,10,0.19702
9,14,0.5271
10,13,0.49304
10,8,0.34509
9,5,0.77222
10,13,0.23022
11,12,0.50928
11,14,1.06763
10,4,0.27917
11,1,0.29651
