FPOGX,FPOGY,FPOGD
8,9,0.47649
9,8,0.49286
10,9,0.24515
9,8,0.41046
11,12,0.39438
12,14,0.4436
12,14,0.36125
12,11,0.34482
12,6,0.65697
12,14,0.39424
11,14,0.6078
8,14,0.27942
7,11,0.19713
7,6,0.32848
8,13,0.41077
7,14,0.36151
6,10,0.19699
6,7,0.24623
6,8,0.31242
6,14,0.41087
10,14,0.31212
10,13,0.32863
10,8,0.37659
10,14,0.60799
6,12,0.31212
6,9,0.3782
8,8,0.46065
7,10,0.27939
6,11,0.39445
7,12,0.32849
7,11,0.3123
7,8,0.24635
7,7,0.37775
8,12,0.3284
10,13,0.32863
9,13,0.31201
11,13,0.31201
12,13,0.24651
11,12,0.23019
8,12,0.23
8,9,0.55859
7,11,0.55858
9,13,0.36139
11,12,0.32852
11,9,0.42688
11,12,0.42725
10,12,0.2462
9,4,0.29546
9,4,0.04939
9,10,0.32877
9,11,0.60799
11,12,0.21385
11,11,0.24651
11,9,0.68997
10,10,0.36139
7,10,0.45935
7,9,0.72284
8,10,0.32848
8,5,0.37801
8,8,0.21352
9,8,0.21361
9,9,0.22961
9,7,0.22978
8,7,0.24785
8,7,0.41087
8,8,0.52588
9,9,0.55849
10,10,0.22997
10,8,0.27934
11,7,0.32863
10,9,0.32848
9,7,0.42719
9,8,0.36134
8,8,0.34503
7,8,0.65694
7,9,0.263
9,8,0.29573
10,6,0.44374
10,7,0.27924
11,8,0.41089
11,6,0.34511
11,7,0.62408
12,8,0.55876
11,5,0.73923
11,6,0.26271
10,6,0.31219
8,17,0.09839
9,9,0.80518
11,13,0.26315
12,13,0.54208
12,13,0.29572
12,14,0.23018
12,14,0.47624
9,10,0.54224
9,7,0.2137
8,3,0.19737
9,3,0.34485
6,5,0.32935
6,5,0.64073
6,16,0.32866
6,18,0.32864
7,16,0.06561
9,7,0.13165
12,8,0.26286
12,7,0.50925
11,11,0.21375
12,17,0.32849
11,8,0.21378
11,15,0.7065
11,17,0.62439
12,18,0.95291
11,17,0.26283
9,12,0.19693
9,8,0.23105
12,17,0.3614
8,12,0.41106
9,13,0.24637
9,18,0.50923
10,16,0.34497
9,12,0.1971
9,11,0.2462
9,9,0.47592
9,16,0.29558
8,17,0.37822
11,17,0.36205
11,8,0.36148
12,8,0.4599
12,9,0.06575
11,15,0.3121
11,15,0.27937
14,8,0.19739
13,6,0.2299
10,9,0.21338
10,15,0.3121
10,17,0.27924
7,17,0.31226
8,12,0.19702
7,10,0.27937
8,18,0.57498
10,15,0.23016
10,12,0.3777
8,16,0.32849
7,16,0.52545
7,17,0.29556
7,9,0.24609
7,15,0.22986
6,13,0.4601
8,10,0.23
14,6,0.41034
7,17,0.29562
7,17,0.45984
8,17,0.31194
6,7,0.24606
6,8,0.34496
