FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.55139,0.11887,0.27924,0.49442,0.2119
0.51698,0.14517,0.22998,0.53166,0.07713
0.52211,0.12255,0.32849,0.43559,0.45254
0.36176,0.64006,0.22998,0.28857,0.96512
0.2617,0.96921,0.39401,0.18249,0.98417
0.13548,0.95795,0.72272,0.25908,0.86182
0.48955,0.55285,0.31229,0.5393,0.51608
0.48164,0.53221,0.27924,0.32638,0.56528
0.46186,0.60619,0.0491,0.4463,0.53234
0.53089,0.7596,0.27924,0.54011,0.68257
0.54599,0.75021,0.21384,0.56986,0.80337
0.54333,0.80154,0.77213,0.52426,0.63036
0.5584,0.66169,0.26318,0.66565,0.78368
0.69073,0.72916,0.62411,0.60745,0.60709
0.52807,0.6052,0.80469,0.50614,0.58299
0.42964,0.57407,0.67346,0.50151,0.62526
0.48122,0.6193,0.68997,0.47826,0.58134
0.46773,0.57675,0.36139,0.47799,0.52303
0.48862,0.5205,0.39435,0.5284,0.56378
0.51508,0.58908,0.34488,0.51318,0.63367
0.50848,0.6121,0.54221,0.50578,0.5736
0.51279,0.54587,1.59317,0.54385,0.57937
0.53178,0.60622,0.44363,0.52086,0.66755
0.51847,0.67925,0.59164,0.58285,0.7531
0.57926,0.76535,0.427,0.52937,0.80087
0.54115,0.81734,0.72284,0.59688,0.81707
0.61062,0.81574,0.42712,0.70907,0.77814
0.75929,0.77384,0.23001,0.84944,0.76036
0.79596,0.75861,0.32855,0.72217,0.72321
0.70467,0.69132,0.27927,0.67077,0.68014
0.71885,0.56924,0.21347,0.75354,0.51388
0.72063,0.50055,0.27921,0.81548,0.43454
0.7675,0.41603,0.44336,0.70108,0.40263
0.81764,0.52566,0.21341,0.80764,0.6509
0.74365,0.63577,0.23013,0.67757,0.67289
0.60698,0.70012,0.24637,0.54838,0.70766
0.55515,0.68845,0.263,0.61527,0.50764
0.58873,0.51695,0.42715,0.54902,0.46557
0.55315,0.67527,0.19684,0.5578,0.7489
0.53522,0.60084,0.21341,0.5124,0.40709
0.54733,0.55584,0.19711,0.56017,0.84436
0.58018,0.84835,0.44376,0.52387,0.73129
0.49743,0.79555,0.41074,0.49432,0.84363
0.49498,0.83477,0.45999,0.5833,0.79921
0.61237,0.80826,0.29544,0.66818,0.83508
0.60317,0.85579,0.32849,0.53241,0.8306
0.53236,0.86237,0.8215,0.50346,0.90007
0.51347,0.8603,0.3945,0.60102,0.84408
0.65099,0.77646,0.22983,0.7285,0.72578
0.65613,0.68123,0.24652,0.62319,0.62216
0.62494,0.6186,0.27939,0.62116,0.61446
0.64039,0.55315,0.27927,0.65615,0.45481
0.63082,0.48976,0.42703,0.60746,0.52623
0.55507,0.56352,0.27924,0.4861,0.59365
0.48447,0.65177,0.26276,0.50094,0.84498
0.44969,0.82031,0.27884,0.4319,0.81655
0.43806,0.82089,0.27939,0.45362,0.88712
0.45126,0.76885,0.21341,0.43105,0.6842
0.45653,0.72951,0.29559,0.51772,0.91932
0.43441,0.86744,0.34525,0.43523,0.80695
0.49686,0.77797,0.39435,0.51641,0.74794
0.51602,0.72409,0.50925,0.4662,0.70865
0.49609,0.75694,0.26282,0.55602,0.92478
0.54027,0.90142,0.45999,0.50434,0.75026
0.49451,0.66653,0.2135,0.44722,0.59392
0.46558,0.59287,0.62424,0.49064,0.58652
0.49023,0.61883,0.54214,0.44055,0.57888
0.44138,0.55654,0.41055,0.556,0.56818
0.54459,0.58892,0.57489,0.4973,0.59368
0.49263,0.59749,1.13275,0.52815,0.55587
0.48503,0.53929,0.27914,0.40169,0.50763
0.43416,0.49465,0.31238,0.55554,0.52042
0.39445,0.5029,0.41074,0.43797,0.5601
0.38441,0.64373,0.21359,0.21189,0.84841
0.26995,0.84537,0.27908,0.36729,0.76187
0.46415,0.59103,0.41061,0.45251,0.58628
0.49169,0.57769,0.34506,0.53404,0.48063
0.58494,0.51412,0.22989,0.71159,0.55495
0.59073,0.53147,0.21378,0.48398,0.5117
