FPOGX,FPOGY,FPOGD
0.52688,0.03706,0.34497
0.07914,0.94113,0.32739
0.10192,0.9744,0.36133
0.52449,0.63984,0.24658
0.5778,0.67273,0.44336
0.60432,0.55494,0.22998
0.57363,0.63893,0.19702
0.53326,0.53043,0.31201
0.21084,0.98749,0.26294
0.17047,0.96659,0.22998
0.1244,0.96833,0.37769
0.41718,0.6846,0.21338
0.60939,0.4793,0.21338
0.62365,0.44471,0.427
0.57196,0.48306,0.34521
0.51925,0.66177,0.427
0.46209,0.67985,0.82153
0.4726,0.67272,2.26709
0.47188,0.70274,0.49292
0.4429,0.72521,0.70654
0.52691,0.71884,0.98584
0.48302,0.86151,0.11499
0.51992,0.55738,0.21362
0.64716,0.45998,0.24658
0.67766,0.61121,0.11523
0.68126,0.63972,0.28052
0.60116,0.6319,0.47632
0.67571,0.65297,0.2627
0.76653,0.65964,1.06714
0.83914,0.70035,0.59131
0.87076,0.65104,0.82129
0.81884,0.52562,0.2627
0.80283,0.54815,0.49292
0.74327,0.4175,0.21362
0.74181,0.3485,0.41187
0.78755,0.21868,0.39429
0.7832,0.15904,0.37769
0.77394,0.19072,1.21558
0.81734,0.20132,0.59131
0.69324,0.21486,1.5769
0.66294,0.33204,0.82153
0.61708,0.30112,0.36133
0.60846,0.25674,0.26294
0.63077,0.28918,0.37793
0.6694,0.22356,0.64063
0.66533,0.16603,0.45972
0.76474,0.16658,0.54199
0.837,0.1475,0.93628
0.85526,0.12654,0.42725
0.84144,0.10974,0.64087
0.79717,0.09717,0.70654
0.70441,0.09077,0.50928
0.65383,0.11897,0.34521
0.61929,0.14064,0.29541
0.62953,0.14572,0.41064
0.70093,0.19234,0.50928
0.72605,0.20858,0.36182
0.72796,0.21186,0.34497
0.69848,0.26201,0.54199
0.64277,0.30982,0.29541
0.64572,0.32963,0.92017
0.68205,0.33396,0.37769
0.65799,0.3299,0.55859
0.6578,0.32676,0.37769
0.65233,0.32688,0.44336
0.64339,0.2685,0.37793
0.64034,0.30286,0.427
0.63947,0.32221,0.52588
0.64177,0.34366,0.41064
0.65568,0.42609,0.24634
0.61189,0.61389,0.31226
0.51002,0.62863,1.19922
0.44843,0.68789,0.5752
0.42207,0.66962,0.49268
0.41256,0.72035,0.34521
0.40724,0.73988,0.59155
0.50718,0.75909,0.4436
0.54452,0.70482,0.26294
0.60086,0.75457,0.62427
0.66298,0.77783,0.59033
0.81264,0.78792,0.31226
0.87838,0.77043,0.39429
0.88639,0.76149,0.29565
0.89808,0.73984,0.32837
0.88592,0.75743,0.50928
0.84568,0.63341,0.36157
0.79548,0.56913,0.64087
0.77426,0.57487,0.27954
0.77412,0.54677,0.32837
0.75145,0.69197,0.22998
0.75407,0.60056,0.27905
0.5636,0.89009,0.22998
0.77311,0.92282,0.19702
0.78261,0.75756,0.19604
0.72293,0.59911,0.2793
0.70692,0.77311,0.21362
0.69558,0.58476,0.22998
0.63915,0.51941,0.26294
0.65542,0.64118,0.22998
0.65802,0.54026,0.36133
0.71982,0.35867,0.21387
0.62726,0.29907,0.37793
0.765,0.45227,0.19751
0.77919,0.54196,0.29541
0.66287,0.50731,0.22974
0.58916,0.49297,0.2959
0.64818,0.82057,0.32837
0.63346,0.6582,0.52515
0.64087,0.6548,0.49316
0.62274,0.78758,0.21338
0.68656,0.62776,0.36157
0.66239,0.66126,0.39429
0.64971,0.66829,0.52563
0.60984,0.68657,0.19727
0.61127,0.63459,1.06787
0.59644,0.50193,0.34497
0.59943,0.56908,0.59155
0.5636,0.56508,0.34497
0.64269,0.58848,0.41064
0.69579,0.55836,0.54224
0.74255,0.56151,0.2793
0.72915,0.75578,0.21362
0.75336,0.85861,0.09863
0.73956,0.25331,0.36182
0.75178,0.234,0.42676
0.73181,0.18221,0.54224
0.74089,0.16969,0.32837
0.65499,0.17863,0.24658
0.63914,0.14909,0.24634
0.56467,0.17314,0.59155
0.51214,0.17447,0.31201
0.49384,0.1646,0.41064
0.47514,0.13966,0.50903
0.43406,0.14678,0.37793
0.41972,0.13867,0.41089
0.44555,0.13573,0.37793
0.47587,0.11961,0.57495
0.50702,0.11867,0.54199
0.48147,0.1107,0.52563
0.4429,0.11917,0.50928
0.40164,0.12182,0.44336
0.41341,0.11365,0.50928
0.40593,0.10008,0.37793
0.41171,0.10485,0.41089
0.41512,0.08232,0.4436
0.51141,0.0831,0.45996
0.55158,0.09961,0.31226
0.60733,0.10296,0.26245
0.61418,0.04707,0.55811
0.68154,0.12087,0.37769
0.66914,0.14919,0.65698
0.75668,0.08821,0.34521
0.79957,0.11137,0.7063
0.82465,0.18054,0.44287
0.82746,0.21661,0.64063
0.84863,0.25383,0.42725
0.80691,0.30148,0.4436
0.74514,0.22826,0.83789
0.7227,0.24125,0.4436
0.7104,0.22421,1.05151
0.71549,0.15377,0.37769
0.7557,0.15288,0.77197
0.79346,0.118,0.42676
0.84728,0.17288,0.77222
0.8026,0.13115,0.27905
0.81462,0.11431,0.31201
0.85552,0.10865,0.52588
0.83589,0.14446,0.32813
0.83064,0.11889,0.52563
0.75349,0.19979,0.52539
0.73731,0.18688,0.32861
0.73507,0.16595,0.50928
0.72964,0.19177,0.59155
0.80555,0.22882,0.49268
0.81694,0.25436,0.34521
0.85788,0.2662,0.36133
0.89166,0.07747,0.08179
0.79129,0.37869,0.73926
0.80381,0.41792,0.80469
0.79562,0.53202,0.2627
0.85339,0.62168,0.31226
0.81352,0.6378,0.8374
0.85377,0.72639,0.87061
0.89918,0.79069,0.54224
0.81293,0.78821,0.24634
0.73273,0.72256,0.59131
0.71496,0.74501,0.36133
0.57467,0.70395,0.2627
0.55359,0.69427,0.34497
0.58592,0.53171,0.21338
0.55961,0.5813,0.26294
0.46213,0.74543,0.32837
0.4864,0.64121,0.24609
0.47607,0.67375,0.41064
0.51057,0.62716,0.75562
0.44889,0.5926,0.27856
0.428,0.63327,0.72266
0.408,0.56341,0.2793
0.74884,0.87652,0.22998
0.52531,0.67948,0.23022
0.62467,0.50675,0.11475
0.64601,0.5442,0.19702
0.78709,0.4245,0.2793
0.65291,0.66449,0.31201
0.70505,0.49928,0.04956
0.72216,0.56258,0.26294
0.86963,0.08417,0.04932
0.73139,0.41174,0.37769
0.74789,0.43337,0.2627
0.76739,0.42049,0.2793
0.79996,0.47388,0.4436
0.83984,0.41183,0.29565
0.84007,0.45893,0.55859
0.85426,0.46934,0.54224
0.77918,0.54422,0.36182
0.80951,0.5381,0.42749
0.76273,0.61054,0.67358
0.71004,0.66175,0.47656
0.64362,0.70248,0.34497
0.62084,0.68492,0.75562
0.58311,0.62261,0.67383
0.5691,0.64514,0.625
