FPOGX,FPOGY,FPOGD
0.52523,0.08082,0.82136
0.46642,0.37985,0.34489
0.53548,0.37962,0.9365
0.33913,0.93025,0.31225
0.14929,0.95631,0.42712
0.13874,0.9572,0.47636
0.51972,0.50709,0.39425
0.54772,0.46837,0.31213
0.48049,0.74797,0.29563
0.46292,0.62902,0.31225
0.45139,0.67281,0.55888
0.46036,0.69923,0.78835
0.56619,0.68921,0.83775
0.47478,0.69795,2.62834
0.49495,0.67919,0.59136
0.57341,0.62624,0.14777
0.54358,0.6221,0.5094
0.48804,0.67903,0.44367
0.44677,0.68752,0.41074
0.39076,0.70017,0.8707
0.3763,0.76004,0.41048
0.43701,0.79449,0.26289
0.51802,0.77912,0.427
0.57171,0.78493,0.93649
0.62082,0.8093,0.26276
0.75366,0.82207,0.26247
0.80783,0.80247,0.49391
0.82519,0.77769,0.59119
0.81272,0.72205,0.57541
0.83752,0.65016,0.47665
0.79394,0.61688,0.46014
0.75018,0.6405,1.15001
0.71401,0.62145,0.44363
0.70657,0.67175,0.44348
0.66073,0.63236,0.6076
0.74906,0.60222,0.2956
0.81978,0.6127,0.78838
0.84217,0.65582,0.32859
0.84616,0.68758,0.96924
0.77969,0.71392,1.08427
0.72136,0.69375,0.70635
0.68226,0.71791,0.37799
0.65275,0.75051,0.42712
0.61113,0.77514,0.49271
0.57462,0.76778,0.63927
0.51699,0.68251,0.69013
0.47847,0.65337,0.36177
0.41673,0.6497,0.39425
0.45485,0.61573,0.32878
0.43865,0.58765,0.88712
0.36347,0.63232,0.49314
0.40813,0.67975,0.82136
0.50827,0.63651,0.5424
0.50813,0.63803,0.2958
0.54353,0.6536,0.27913
0.56434,0.63754,0.68974
0.57472,0.62268,0.36136
0.51327,0.5872,0.31227
0.46292,0.55881,0.50948
0.45047,0.40653,0.345
0.45252,0.29921,0.34497
0.42813,0.2906,1.16659
0.36922,0.2258,0.72272
0.42127,0.21202,0.3451
0.47989,0.23566,0.34489
0.58143,0.25952,0.27915
0.57668,0.23698,0.52565
0.59528,0.20246,0.49301
0.52682,0.15936,0.2625
0.46429,0.17705,0.85429
0.39774,0.18188,0.45998
0.37154,0.19885,0.83757
0.39426,0.1974,1.3471
0.36899,0.22187,0.44324
0.43423,0.23484,0.23016
0.45632,0.23186,0.62437
0.47303,0.18825,0.49287
0.48484,0.29036,0.73926
0.52967,0.283,0.65788
0.58701,0.31408,0.67336
0.61655,0.36623,0.67319
0.63346,0.39432,0.62424
0.62001,0.39989,0.47649
0.62215,0.74339,0.21339
0.63371,0.76283,0.24615
0.62121,0.41244,0.59164
0.60838,0.47268,0.378
0.60007,0.52097,0.55862
0.63626,0.8008,0.37788
0.65866,0.51599,0.24649
0.65655,0.69491,0.19717
0.61081,0.7815,0.7556
0.5735,0.59797,0.37798
0.58992,0.66456,0.62426
0.57402,0.62476,0.26273
0.58858,0.52936,0.24648
0.63537,0.55403,1.26492
0.61665,0.65847,0.60777
0.60196,0.55498,0.39453
0.61814,0.55635,0.65742
0.61898,0.59852,0.34488
0.61525,0.55039,0.68988
0.68503,0.62176,0.50935
0.76644,0.59208,0.36148
0.76756,0.5344,0.62425
0.77265,0.69227,0.42726
0.81919,0.74321,0.55833
0.84016,0.81015,0.65736
0.74674,0.82562,0.59137
0.61589,0.81651,0.60788
0.54371,0.80678,0.37773
0.57038,0.8104,0.29588
0.49705,0.80522,0.45996
0.40949,0.78646,0.50911
0.38101,0.79541,0.90315
0.42795,0.74075,1.08409
0.39727,0.73876,0.82135
0.3818,0.74345,1.26483
0.5014,0.66149,0.24637
0.56055,0.6475,0.27936
0.38212,0.73897,0.32846
0.43354,0.66764,0.13138
0.54931,0.65237,0.26276
0.62075,0.58972,0.22987
0.62142,0.48058,0.54239
0.55207,0.6239,0.23016
0.47067,0.67271,0.42711
0.44685,0.58554,0.80513
0.37656,0.60689,0.47681
0.39055,0.6763,0.37787
0.42389,0.72261,0.36133
0.46084,0.69236,0.42693
0.4747,0.56862,0.36134
0.49703,0.4834,0.36136
0.48931,0.48294,0.26289
0.46057,0.36795,0.2959
0.45994,0.29145,0.4762
0.46172,0.29681,0.31209
0.43561,0.31357,0.57515
0.38627,0.27016,0.77209
0.38809,0.19024,0.32863
0.39845,0.12805,0.32875
0.46614,0.1288,0.47598
0.55608,0.14809,0.41039
0.59748,0.20424,0.36165
0.60615,0.25337,0.44347
0.64265,0.24435,0.39421
0.69817,0.25378,0.85429
0.76838,0.25601,0.62398
0.78206,0.47268,0.52556
0.74351,0.55637,0.29565
0.70745,0.44951,0.21364
0.76838,0.53925,0.2135
0.76511,0.62347,0.32854
0.73927,0.68316,0.9691
0.69677,0.71553,0.50905
0.63846,0.77525,0.9859
0.58037,0.77269,0.6899
0.54094,0.73344,0.59137
0.58968,0.74703,0.41103
0.69483,0.7366,0.50914
0.698,0.73503,0.24637
0.75287,0.7516,0.23001
0.83786,0.74871,0.90335
0.84057,0.71574,0.64075
0.86507,0.68728,1.92213
0.8911,0.69617,0.29561
0.8103,0.66145,0.27936
0.63968,0.64049,0.26259
0.61028,0.64593,0.427
0.69011,0.68695,0.36151
0.78784,0.62484,1.14961
0.83374,0.68322,0.65715
0.74007,0.70054,0.29561
0.64042,0.68039,0.27951
0.75233,0.68529,0.41063
0.73923,0.66013,0.50923
0.58523,0.62621,1.15019
0.50933,0.62954,0.75565
0.48547,0.63546,0.55849
0.52909,0.69255,0.60773
0.54208,0.66744,0.29552
0.50447,0.45065,0.27925
0.49946,0.51894,0.19739
0.47436,0.33721,0.31197
0.44386,0.42684,0.31227
0.46507,0.39413,0.27927
0.46378,0.30759,0.9856
0.44082,0.32054,0.16438
0.39795,0.23344,0.45985
0.42228,0.22475,0.26321
0.44419,0.20407,0.52562
0.4966,0.21388,0.32861
0.54981,0.19703,0.50912
0.62547,0.26645,0.73923
0.70673,0.28518,0.77199
0.6617,0.36321,0.72276
0.68469,0.41627,0.50912
0.74183,0.44259,0.52576
0.81726,0.48065,0.29559
0.8042,0.48756,0.24648
0.46482,0.4532,0.47653
0.45082,0.50333,0.93651
0.48438,0.59407,0.50909
0.51421,0.5436,0.96909
0.49185,0.59123,0.34642
0.47325,0.49951,0.39465
0.46442,0.30264,0.54187
0.45491,0.26571,0.87077
0.39135,0.23988,0.47704
0.39145,0.23455,0.29591
0.51208,0.25404,0.23021
0.57249,0.26704,0.36111
0.52263,0.25891,0.37798
0.41507,0.25545,0.34459
0.38737,0.23659,0.32849
0.4126,0.17867,0.69012
0.46086,0.21515,0.57489
0.48871,0.25316,0.39439
0.55294,0.2558,0.78853
0.51554,0.30635,0.39412
0.48028,0.25345,0.57487
0.52486,0.27715,0.6736
0.51139,0.31195,0.93639
0.61265,0.52218,0.65726
0.64604,0.70112,0.21326
0.63467,0.77619,0.2133
0.61986,0.54972,0.44348
0.65751,0.66516,0.21373
0.59371,0.75151,0.39426
0.5791,0.60984,0.36166
0.59597,0.64083,0.67365
0.60416,0.53012,0.44334
0.61679,0.57253,0.27925
0.55407,0.4931,0.13148
0.62883,0.56511,0.2303
0.61933,0.603,1.18283
0.61344,0.53312,0.80501
0.60928,0.53407,0.93652
0.73664,0.65625,0.27975
0.76453,0.54359,0.29608
0.75346,0.43696,0.29587
0.74143,0.42629,0.27931
0.75544,0.42732,0.31197
0.75374,0.3698,0.5256
0.73901,0.46215,0.55849
0.75818,0.57518,0.4268
0.76461,0.70626,0.45999
0.83172,0.77411,0.52573
0.84221,0.80406,0.52574
0.65797,0.82828,0.32837
0.6073,0.8139,0.49272
0.57335,0.80187,0.85439
0.52535,0.82391,0.39386
0.45156,0.82408,0.72299
0.37277,0.80515,0.49312
0.37798,0.76814,0.62453
0.39435,0.69848,0.65727
0.3991,0.63425,1.15013
0.4403,0.71209,0.68987
0.47942,0.67069,0.29561
0.45608,0.5596,0.52547
0.46799,0.43484,0.75563
0.458,0.33831,0.27924
0.47082,0.3147,0.90364
0.43207,0.3469,0.04933
0.49603,0.22726,0.59151
0.58498,0.22835,0.92029
0.56891,0.15311,0.2793
0.46189,0.16857,0.78847
0.39872,0.18912,0.39413
0.36464,0.236,0.69038
0.36194,0.27621,0.83778
0.41976,0.30719,0.32852
0.44424,0.30285,0.44389
0.45176,0.25099,0.69026
0.39521,0.25963,0.57513
0.40608,0.26769,0.68964
0.46509,0.23832,0.57466
0.46301,0.22471,0.34482
0.43557,0.26833,0.36163
0.40039,0.26443,1.364
0.53154,0.29826,0.8214
0.58427,0.33573,0.57472
0.60301,0.39735,0.49261
0.53351,0.4125,0.45955
0.50638,0.5971,0.87062
0.43395,0.60023,0.55878
0.36255,0.61893,0.77187
0.38983,0.6888,0.45973
0.40959,0.77241,0.80486
0.52705,0.76735,0.45999
0.55228,0.79021,0.36154
0.48581,0.80215,0.32849
0.42111,0.77806,0.32837
0.40936,0.72898,0.54207
0.4088,0.72325,0.57513
0.38534,0.75947,0.68988
0.39433,0.76108,0.37769
0.38058,0.75579,0.69002
0.43197,0.70658,0.23015
0.47798,0.70201,0.41077
0.4253,0.74225,0.27951
0.60021,0.58632,0.49289
0.62016,0.6409,0.39426
0.59021,0.64868,0.27914
0.50641,0.70158,0.52574
0.49888,0.70661,0.90346
0.58388,0.64468,0.64037
0.60433,0.65343,0.57484
0.66314,0.69473,0.37788
0.778,0.66707,1.03493
0.84591,0.66027,0.6244
0.82031,0.71334,0.87048
0.73526,0.70493,0.49284
0.7054,0.69745,0.59131
0.66547,0.69201,0.32858
0.62866,0.71892,0.32838
0.68426,0.7061,0.68999
0.64573,0.78004,0.80513
0.57964,0.79378,0.69012
0.53531,0.7054,0.80501
0.59104,0.67269,0.72278
0.64521,0.66508,1.92183
0.72061,0.60751,0.4601
0.74979,0.53731,0.68997
0.76273,0.40723,0.42722
0.7639,0.36534,0.52554
0.71223,0.49379,0.68985
0.67412,0.62749,0.67368
0.63721,0.64114,0.34497
0.59379,0.64552,0.49277
0.56158,0.61309,0.5094
0.55775,0.55095,0.85406
0.53424,0.42681,0.21338
0.57054,0.37197,0.37775
0.65928,0.3428,0.80499
0.68621,0.28299,0.73938
0.61971,0.27286,0.37787
0.61675,0.26278,0.60785
0.64353,0.24593,0.36139
0.61666,0.27447,0.91983
0.74712,0.27802,0.55881
0.76536,0.23401,0.55838
0.77128,0.2058,0.42706
0.83683,0.2468,0.31186
0.84761,0.28747,1.03503
0.74167,0.38983,0.29523
0.72478,0.40107,0.23013
0.77102,0.37757,0.7229
0.79231,0.28407,0.608
0.84813,0.2673,1.01831
0.82846,0.17887,0.32861
0.71652,0.13458,0.5094
0.67352,0.20765,0.34509
0.6648,0.15821,0.77213
0.65619,0.23423,0.69009
0.62597,0.59368,0.32855
0.63689,0.54097,0.39441
0.60283,0.5788,0.24625
0.57239,0.60797,0.24637
0.63307,0.59635,0.5751
0.60081,0.65681,0.41095
0.60884,0.55682,0.31213
0.60191,0.5344,0.08212
0.46234,0.65548,0.60788
0.44282,0.61017,0.04898
0.45897,0.49858,0.39429
0.45393,0.72767,0.24634
0.43087,0.77341,0.345
0.37195,0.77841,0.59137
0.36828,0.81729,0.37799
0.55312,0.82325,0.36148
0.71628,0.82782,0.34528
0.55148,0.84528,0.36136
0.66401,0.82934,0.23001
0.72553,0.82276,0.45969
0.84974,0.81593,0.72311
0.85377,0.7721,0.93625
0.82845,0.79662,1.29758
0.71314,0.72057,0.23001
0.6515,0.71002,0.34482
0.65455,0.69389,0.26276
0.832,0.79971,0.49152
0.63563,0.59525,0.62411
0.59717,0.54496,0.41086
0.62346,0.58532,0.37775
0.6225,0.59542,0.24622
0.63779,0.65007,0.45975
0.67219,0.63558,0.45999
0.75756,0.58898,0.57513
0.76957,0.42002,0.21338
0.75891,0.36179,0.27927
0.75656,0.34589,0.57544
0.76427,0.27027,0.42712
0.77081,0.22015,0.44339
0.79001,0.16055,0.4765
0.8624,0.17795,0.64087
0.83656,0.27326,0.6069
0.83713,0.25768,0.39258
0.79099,0.33749,0.49289
0.70905,0.27106,0.47644
0.64954,0.25987,0.37762
0.5937,0.24941,0.34488
0.55792,0.27241,0.32858
0.47445,0.25577,0.39423
0.44938,0.28936,0.54199
0.45587,0.47933,0.59146
0.45102,0.56607,0.608
0.53038,0.59747,0.29578
0.49843,0.59266,0.41049
0.61436,0.62855,0.23029
0.58582,0.67944,0.78836
0.50168,0.68321,0.37772
0.45619,0.64691,0.11462
0.4254,0.61751,0.44379
0.35946,0.67824,0.46014
0.39382,0.70815,0.67346
0.4162,0.74463,0.37762
0.45674,0.74289,0.24606
0.43749,0.70793,0.37735
0.50158,0.69846,0.4274
0.53267,0.70506,0.75558
0.59644,0.77607,0.75562
0.65704,0.79588,0.59125
0.71508,0.70913,0.88699
0.68743,0.6932,1.52786
0.76158,0.73512,0.36124
0.8048,0.78216,0.77209
0.86474,0.78653,0.77185
0.8453,0.72309,0.70688
0.85614,0.67604,0.62436
0.80671,0.64101,0.49286
0.75941,0.62871,0.82123
0.74749,0.59128,0.50925
0.71928,0.49363,0.42712
0.70735,0.46689,0.55847
0.70486,0.40676,0.65698
0.65125,0.3896,0.70651
0.66675,0.32604,0.47626
0.7109,0.27476,0.4599
0.77518,0.26109,0.18076
0.8472,0.24779,0.70627
0.74431,0.18519,0.26279
0.67089,0.13534,0.50925
0.69644,0.17281,0.31226
0.67503,0.17834,0.4762
0.63939,0.21598,0.39438
0.64664,0.20073,0.55835
0.64346,0.21743,0.31198
0.61936,0.24265,0.49271
0.57771,0.21027,0.59201
0.49244,0.19839,0.44363
0.45353,0.17989,0.54196
0.4623,0.24107,0.80505
0.40133,0.19442,0.45987
0.36531,0.2451,0.49301
0.36884,0.30665,0.37772
0.35568,0.28491,0.42694
0.3863,0.30656,0.42725
0.42417,0.28459,0.26285
0.44417,0.23925,0.73926
0.40544,0.25227,0.52573
0.44957,0.23093,0.77213
0.40662,0.25283,0.46005
0.36881,0.26594,0.62408
0.43139,0.26915,0.24625
0.52007,0.30396,0.6571
0.57231,0.32166,0.80518
0.59811,0.56883,0.37756
0.61117,0.4186,0.41061
0.63453,0.5334,0.50937
0.54708,0.62617,0.24622
0.62237,0.56214,0.29587
0.59981,0.6538,0.85428
0.60254,0.59578,0.3447
0.55918,0.62344,0.22986
0.4796,0.64917,0.427
0.45018,0.56781,0.26276
0.45673,0.43211,0.39426
0.46663,0.34458,0.64072
0.50272,0.44527,0.31213
0.54747,0.41289,0.42712
0.58082,0.36207,0.27936
0.57137,0.3227,0.87048
0.56745,0.32382,1.44547
0.58129,0.44168,0.24664
0.62562,0.5822,0.27939
0.64257,0.78731,0.24664
0.59022,0.46676,0.32904
0.60705,0.55758,0.60779
0.63574,0.5682,0.52563
0.61509,0.76975,0.65726
0.60071,0.65557,0.96918
0.61093,0.55362,0.32864
0.62058,0.64533,0.54196
0.60414,0.66828,0.34531
0.61585,0.57049,0.73926
0.59827,0.54516,0.80493
0.59869,0.56111,0.34503
0.5964,0.57574,0.27945
0.5945,0.64806,0.31213
0.4956,0.63957,0.27936
0.45421,0.6063,0.78851
0.46612,0.46125,0.42691
0.45915,0.36415,0.2467
0.46722,0.30088,0.36124
0.45608,0.31186,1.00192
0.39003,0.25076,0.72275
0.36694,0.22529,0.91971
0.37094,0.27538,0.57462
0.40425,0.28387,0.32864
0.47489,0.28221,0.50925
0.51107,0.25865,0.85437
0.5947,0.26861,1.00183
0.68121,0.27013,0.42633
0.76928,0.26917,0.75574
0.77661,0.44546,0.55829
0.7836,0.5375,0.59125
0.78521,0.64168,0.44363
0.7733,0.71853,0.93484
