FPOGX,FPOGY,FPOGD
0.51726,0.0092,0.08197
0.48973,0.08437,0.26221
0.10371,0.98321,0.59119
0.41995,0.5141,0.2464
0.60508,0.53565,0.4928
0.67459,0.54248,0.57666
0.46815,0.38556,0.31244
0.22172,0.14141,0.26294
0.53712,0.30463,0.22986
0.88147,0.57771,0.31238
0.85157,0.63781,0.27924
0.72027,0.8011,0.2135
0.21459,0.79967,0.39539
0.46979,0.72518,0.23029
0.62003,0.63697,0.22998
0.77466,0.60529,0.33063
0.79587,0.51159,0.2135
0.43882,0.23872,0.23016
0.22581,0.17916,0.5257
0.24393,0.29717,0.19696
0.42619,0.52435,0.22986
0.58917,0.63721,0.21393
0.8338,0.78399,0.27924
0.90146,0.7969,0.59137
0.30472,0.39295,0.22998
0.19997,0.54834,0.29578
0.5511,0.70709,0.22998
0.70905,0.76932,0.2301
0.85317,0.7685,0.50909
0.40989,0.3347,0.19702
0.20566,0.1378,0.31244
0.24278,0.1823,0.22992
0.49623,0.32463,0.21344
0.67448,0.36774,0.22998
0.85989,0.49604,0.2605
0.7427,0.38316,0.13135
0.31952,0.09963,0.22986
0.22451,0.10945,0.60785
0.4857,0.06839,0.23016
0.69756,0.11003,0.24634
0.79439,0.11359,0.29559
0.43251,0.40081,0.22998
0.21598,0.48291,0.24658
0.55676,0.78042,0.24622
0.76636,0.76381,0.23004
0.82391,0.69166,0.31207
0.50491,0.80003,0.29572
0.19535,0.74535,0.32874
0.25358,0.66455,0.22998
0.50827,0.5762,0.24622
0.7299,0.51975,0.26263
0.75836,0.43221,0.2464
0.39946,0.13836,0.31213
0.22528,0.21419,0.27924
0.2136,0.40761,0.23102
0.66387,0.47481,0.45959
0.83728,0.42562,0.37793
0.47423,0.44393,0.29565
0.37978,0.40475,0.32861
0.34759,0.38578,0.37762
0.60861,0.3058,0.22986
0.76973,0.3081,0.24664
0.74123,0.23773,0.24615
0.41117,0.11493,0.24634
0.27341,0.09605,0.26288
0.21348,0.0918,0.29578
0.46496,0.13732,0.22998
0.67794,0.2146,0.22986
0.82305,0.24344,0.27924
0.32973,0.38765,0.21362
0.1483,0.54055,0.24652
0.30056,0.74933,0.19714
0.6227,0.70229,0.22998
0.76192,0.56243,0.1969
0.80759,0.42429,0.29572
0.40983,0.35339,0.37787
0.25733,0.30115,0.44324
0.41767,0.28107,0.2298
0.73013,0.34649,0.31207
0.81619,0.36719,0.31226
0.64663,0.25785,0.27911
0.40278,0.3164,0.19702
0.25073,0.58307,0.32855
0.55021,0.79069,0.24634
0.71274,0.76437,0.23022
0.85359,0.70627,0.22992
0.67186,0.76432,0.19727
0.41007,0.65244,0.1972
0.1722,0.4917,0.31213
0.25588,0.34496,0.21362
0.5329,0.19108,0.26282
0.66839,0.24494,0.23004
0.85552,0.44174,0.26306
0.36101,0.74716,0.29572
0.18143,0.79025,0.34497
0.26703,0.59882,0.22986
0.56091,0.49216,0.22986
0.73617,0.40491,0.24628
0.79671,0.40151,0.27942
0.31632,0.48372,0.29572
0.17408,0.66605,0.26184
0.47556,0.70947,0.22986
0.6345,0.55794,0.21423
0.77428,0.37124,0.32861
0.37135,0.16124,0.29578
0.32783,0.15091,0.27924
0.28604,0.17823,0.37793
0.54539,0.33865,0.22986
0.77779,0.46964,0.26288
0.75755,0.57569,0.23004
0.44531,0.70872,0.2464
0.26814,0.73849,0.34485
0.33586,0.6477,0.27924
0.57561,0.49807,0.2301
0.72733,0.42431,0.22992
0.85039,0.33223,0.44336
0.82994,0.30642,0.24634
0.50749,0.40983,0.19733
0.2187,0.62139,0.19714
0.26764,0.71241,0.23016
0.5585,0.68751,0.2301
0.739,0.45005,0.2298
0.76685,0.37916,0.26276
0.41759,0.11743,0.42712
0.16074,0.25366,0.29578
0.46831,0.51879,0.24634
0.73548,0.73446,0.26532
0.83108,0.69762,0.34485
0.48873,0.72615,0.26324
0.1913,0.5914,0.27942
0.21783,0.47785,0.26324
0.41458,0.31542,0.19727
0.64558,0.19081,0.22992
0.77311,0.1526,0.31213
0.63982,0.16836,0.19727
0.42849,0.18108,0.26257
0.25502,0.22633,0.46002
0.33484,0.19316,0.04913
0.59577,0.2889,0.24634
0.75812,0.31939,0.24622
0.81837,0.38551,0.31226
0.46793,0.19167,0.26318
0.19336,0.36797,0.37787
0.27321,0.49646,0.19727
0.54143,0.65329,0.26282
0.7054,0.58707,0.21381
0.77095,0.50507,0.29584
0.49787,0.55092,0.21344
0.21359,0.63582,0.31201
0.3905,0.80454,0.22998
0.64387,0.82734,0.22986
0.78535,0.73274,0.2135
0.76218,0.67385,0.22968
0.36883,0.363,0.19714
0.16175,0.18294,0.50922
0.3273,0.16161,0.19714
0.60836,0.41831,0.27924
0.8735,0.62916,0.24622
0.78598,0.72235,0.21344
