FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.49884,0.10856,0.0,0.50793,0.03775
0.51396,0.07473,0.26251,0.51438,0.07208
0.50959,0.11446,0.42731,0.42852,0.34769
0.35611,0.47077,0.52576,0.51074,0.48575
0.47728,0.44898,0.2959,0.45342,0.3718
0.43685,0.38954,0.36151,0.42778,0.44279
0.46593,0.41863,0.31213,0.59119,0.44213
0.52399,0.45933,0.22998,0.41489,0.45305
0.36252,0.51832,0.2301,0.3368,0.54595
0.30425,0.52723,0.73926,0.31959,0.37184
0.36714,0.34643,0.39435,0.48303,0.30973
0.63035,0.24223,0.27911,0.64621,0.22221
0.72198,0.30482,0.21356,0.76075,0.38717
0.8033,0.44868,0.26294,0.85194,0.50152
0.79441,0.50602,0.263,0.60077,0.54103
0.30699,0.68878,0.4931,0.26745,0.70754
0.13438,0.56355,0.2627,0.12923,0.48455
0.31206,0.38062,0.19727,0.47558,0.19895
0.54633,0.20757,0.27924,0.70027,0.25625
0.76758,0.35803,0.21362,0.80327,0.41176
0.85224,0.5521,0.24646,0.84684,0.62536
0.73979,0.60485,0.21387,0.62788,0.58728
0.57062,0.61106,0.23004,0.33629,0.63561
0.22466,0.69023,0.2301,0.16841,0.73518
0.17402,0.75592,0.42712,0.30672,0.76131
0.48591,0.69307,0.32843,0.62073,0.68127
0.79334,0.66662,0.37775,0.82533,0.62625
0.81674,0.5989,0.29559,0.66406,0.50751
0.54783,0.41063,0.21362,0.4633,0.36858
0.40008,0.33583,0.2464,0.2757,0.29417
0.20842,0.20733,0.54211,0.35171,0.14918
0.46795,0.28813,0.19708,0.52803,0.35731
0.59073,0.40526,0.24646,0.66514,0.48597
0.83673,0.63244,0.34485,0.85713,0.67069
0.70555,0.6402,0.19696,0.55208,0.61898
0.50719,0.54281,0.24646,0.33498,0.51093
0.19802,0.53401,0.37799,0.12691,0.53885
0.18988,0.51743,0.27954,0.34609,0.44154
0.54621,0.41394,0.19733,0.70758,0.39033
0.78763,0.34554,0.22998,0.84491,0.28154
0.8548,0.30006,0.36108,0.87957,0.25611
0.76437,0.28172,0.21381,0.62573,0.22724
0.56184,0.24502,0.27936,0.43721,0.24216
0.31051,0.21326,0.24622,0.19204,0.2298
0.16098,0.20714,0.27881,0.17819,0.21117
0.29236,0.16057,0.21375,0.45801,0.13801
0.53751,0.1475,0.26282,0.76154,0.11268
0.80002,0.14728,0.31213,0.91267,0.22651
0.84629,0.2026,0.36163,0.71735,0.28331
0.45521,0.50838,0.36151,0.40243,0.54683
0.24116,0.75195,0.36115,0.19254,0.65717
0.25635,0.56756,0.2135,0.32489,0.35936
0.50802,0.27476,0.19714,0.67256,0.19707
0.77553,0.16861,0.42712,0.83135,0.31926
0.85449,0.30493,0.27936,0.84368,0.3314
0.647,0.43302,0.19727,0.24191,0.57439
0.23271,0.67431,0.32849,0.13901,0.7224
0.16337,0.67612,0.27924,0.18029,0.58053
0.15962,0.54339,0.36151,0.33726,0.46284
0.80921,0.36314,0.22968,0.85292,0.30236
0.84109,0.22649,0.27936,0.84555,0.19806
0.85979,0.2359,0.2627,0.89367,0.32473
0.81146,0.46627,0.21381,0.74184,0.50351
0.54795,0.50977,0.24628,0.28682,0.58683
0.20506,0.69263,0.64069,0.41518,0.63378
0.57028,0.5301,0.31226,0.63991,0.41806
0.70904,0.40166,0.34479,0.82223,0.38157
0.82349,0.38079,0.67389,0.87714,0.37741
0.83033,0.37561,0.29578,0.73376,0.35628
0.7471,0.3539,1.11725,0.87991,0.45923
0.86708,0.50879,0.29553,0.86969,0.57675
0.89236,0.67357,0.34509,0.91343,0.54135
0.779,0.50394,0.2135,0.41616,0.39577
0.42218,0.4164,0.41071,0.54448,0.58683
0.6144,0.71161,0.85388,0.72306,0.55375
0.69547,0.51086,0.36127,0.58641,0.50793
0.39175,0.47239,0.34485,0.62696,0.49917
0.70455,0.49373,0.83771,0.71731,0.43677
0.7167,0.49147,0.60779,0.79356,0.53706
0.81026,0.56026,0.41064,0.87646,0.54363
0.89523,0.48228,2.0368,0.7018,0.42401
0.73765,0.40324,0.39429,0.76241,0.4118
0.85286,0.55316,0.4433,0.65578,0.51296
0.43928,0.46169,0.19714,0.27126,0.45394
0.18274,0.31388,0.27948,0.12611,0.30273
0.26049,0.27257,0.22955,0.50817,0.22549
0.56485,0.19653,0.29553,0.74382,0.19155
0.82194,0.20271,0.22998,0.87729,0.23179
0.88382,0.25162,0.62421,0.88719,0.36145
0.85527,0.36927,0.22974,0.61674,0.44311
0.45967,0.45523,0.4436,0.58361,0.61414
0.73474,0.70017,0.27936,0.79843,0.68735
0.82511,0.70211,0.32874,0.85449,0.75508
0.81018,0.70828,0.27911,0.65082,0.68123
0.63325,0.62599,0.26294,0.60012,0.5834
0.20894,0.523,0.2301,0.16457,0.47294
0.1295,0.3952,0.24597,0.11744,0.30549
0.29956,0.27335,0.19702,0.72563,0.27488
0.7425,0.30113,0.36133,0.82011,0.44086
0.82797,0.52336,0.34497,0.70525,0.57531
0.3092,0.692,0.32874,0.14881,0.74188
0.1715,0.75763,0.37769,0.37679,0.68931
0.62387,0.68368,0.2135,0.77867,0.6993
0.81794,0.73757,0.26282,0.87809,0.77744
0.86352,0.74591,0.31226,0.69304,0.62688
0.58347,0.60387,0.24646,0.51945,0.54245
0.36634,0.55282,0.19727,0.27468,0.55424
0.18388,0.54042,0.22974,0.14232,0.5152
0.28792,0.45752,0.19714,0.4683,0.37934
0.73085,0.20689,0.23083,0.76902,0.16322
0.83998,0.14732,0.22986,0.8927,0.15857
0.89656,0.16378,0.427,0.85184,0.30857
0.73932,0.4158,0.19714,0.35852,0.48344
0.18573,0.64267,0.24634,0.10681,0.64588
0.24146,0.6946,0.22998,0.51177,0.68269
0.55963,0.63632,0.27917,0.75617,0.60807
0.83299,0.57782,0.31213,0.8604,0.55339
0.81892,0.51192,0.2793,0.77569,0.48273
0.32571,0.42711,0.22949,0.25234,0.38938
0.22656,0.38793,0.27942,0.1771,0.35418
0.1945,0.32881,0.26318,0.45151,0.23183
0.53579,0.20464,0.2135,0.72322,0.14254
0.78148,0.14886,0.24622,0.86919,0.14637
0.86773,0.17152,0.39429,0.72713,0.32311
0.53959,0.33972,0.22998,0.39318,0.43361
0.23289,0.57122,0.22974,0.12386,0.6593
0.18109,0.72806,0.2627,0.53975,0.70868
0.61594,0.5815,0.21326,0.64665,0.46239
0.7535,0.35512,0.21338,0.79415,0.29432
0.8584,0.2408,0.24634,0.8727,0.21114
0.7908,0.2777,0.2135,0.48811,0.48913
0.3841,0.58685,0.26282,0.1715,0.70242
0.16821,0.76296,0.29565,0.15618,0.78952
0.30078,0.70592,0.19714,0.44705,0.57314
0.66293,0.59654,0.19727,0.74876,0.62199
0.81707,0.5406,0.21375,0.87865,0.48127
0.85185,0.48412,0.34485,0.62497,0.49386
0.51028,0.58163,0.2135,0.30276,0.752
0.23946,0.77575,0.24634,0.1668,0.80962
0.15779,0.7784,0.29565,0.15405,0.71455
0.33032,0.67347,0.19702,0.44345,0.64188
0.77714,0.7234,0.31213,0.83855,0.75966
0.86081,0.76921,0.37793,0.70628,0.66083
0.5598,0.58316,0.21375,0.48208,0.46237
0.21797,0.4169,0.2467,0.14935,0.39174
0.16845,0.29546,0.26306,0.40819,0.18755
0.50003,0.18979,0.2793,0.65287,0.14501
0.76753,0.18941,0.2301,0.83652,0.31531
0.82764,0.38543,0.2627,0.63947,0.4423
0.51155,0.45929,0.22998,0.30085,0.4761
0.18787,0.52024,0.2959,0.14099,0.55294
0.20223,0.58102,0.26331,0.36803,0.58145
0.46832,0.60512,0.22974,0.74031,0.59291
0.81932,0.64154,2.3656,0.87378,0.6176
0.88466,0.56074,0.34521,0.86816,0.49936
0.84336,0.49962,0.34473,0.59285,0.42153
0.60438,0.41418,0.57544,0.71286,0.54268
0.76749,0.64752,0.26294,0.80358,0.75188
0.83538,0.63085,0.22998,0.85622,0.49123
0.88163,0.42629,0.50916,0.72516,0.39669
0.66812,0.41187,0.26294,0.45015,0.48469
0.32008,0.57233,0.19727,0.22234,0.69021
0.39144,0.67797,0.19714,0.65978,0.64002
0.715,0.68838,0.26294,0.79568,0.74937
0.83406,0.7135,0.2793,0.85121,0.66461
0.85793,0.65732,0.31226,0.62145,0.6111
0.46355,0.6319,0.22986,0.22559,0.64833
0.19268,0.6266,0.54187,0.43021,0.55108
0.6356,0.51542,0.19714,0.75855,0.53278
0.80738,0.5105,0.26282,0.85195,0.52514
0.87545,0.49368,0.34485,0.8777,0.45509
0.82889,0.49821,0.04919,0.69151,0.56091
0.49291,0.63602,0.23022,0.30358,0.71614
0.17757,0.73979,0.54175,0.40299,0.59835
0.61194,0.55713,0.22961,0.81628,0.59319
0.83315,0.5432,0.31226,0.83012,0.50916
0.83185,0.48758,0.32861,0.67289,0.51724
0.56955,0.54858,0.06604,0.47598,0.57649
0.23787,0.59566,0.24683,0.13377,0.6034
0.17161,0.63536,0.3938,0.39252,0.60133
0.48471,0.62704,0.24622,0.66909,0.71009
0.74071,0.70575,0.24646,0.83247,0.68132
0.86507,0.69038,0.27917,0.9135,0.6898
0.86707,0.69869,0.37793,0.72191,0.60114
0.58802,0.46539,0.2135,0.41039,0.40499
0.19114,0.50024,0.36169,0.37298,0.5764
0.73628,0.72084,0.41077,0.79586,0.6229
0.85898,0.58347,0.26294,0.89972,0.56039
0.78092,0.58173,0.21375,0.60996,0.6796
0.23872,0.71027,0.29578,0.16732,0.70925
0.16373,0.71656,0.37769,0.1676,0.71025
0.54929,0.4206,0.21375,0.69555,0.36708
0.7942,0.2638,0.2301,0.83663,0.23909
0.87531,0.22478,0.31226,0.91564,0.21981
0.61343,0.20839,0.22998,0.46108,0.35151
0.29015,0.49734,0.22974,0.15384,0.53393
0.133,0.6648,0.22998,0.131,0.70732
0.158,0.71804,0.24634,0.43451,0.57484
0.60547,0.48246,0.27771,0.34468,0.39428
0.79706,0.45567,0.2135,0.86087,0.50244
0.83046,0.52155,0.2793,0.60966,0.55347
0.45399,0.61234,0.19714,0.21755,0.65375
0.15474,0.68435,0.4928,0.19136,0.72044
0.59342,0.72385,0.19739,0.70428,0.73816
0.76385,0.73947,0.24634,0.83864,0.72959
0.85539,0.72145,0.52563,0.63268,0.73252
0.44697,0.62646,0.24634,0.37757,0.52289
0.19821,0.30789,0.24634,0.15634,0.27648
0.2121,0.20276,0.24658,0.48424,0.22848
0.56832,0.32385,0.22998,0.73065,0.52552
0.80125,0.60968,0.26294,0.83138,0.68905
0.81745,0.69809,0.29578,0.52835,0.71698
0.44551,0.67986,0.26282,0.25033,0.64005
0.16791,0.5254,0.31226,0.15978,0.46322
0.15235,0.38163,0.34473,0.15744,0.31638
0.23104,0.32936,0.04919,0.37198,0.3485
0.85078,0.44832,0.42725,0.87788,0.59339
0.87934,0.67067,0.32849,0.73673,0.64147
0.51424,0.66964,0.19714,0.30879,0.69124
0.25135,0.69763,0.2627,0.17545,0.72049
0.19738,0.71187,0.32849,0.39491,0.66703
0.64683,0.68042,0.19739,0.78547,0.66866
0.81737,0.69529,0.2959,0.85248,0.72
0.87027,0.74412,0.44373,0.85532,0.77067
0.84618,0.69099,0.26306,0.81291,0.5375
0.63194,0.52101,0.11499,0.37077,0.50552
0.33054,0.51282,1.06787,0.33523,0.56195
0.33956,0.56051,0.47644,0.30192,0.61178
0.27231,0.72175,0.34497,0.50023,0.5799
0.65788,0.44575,0.2627,0.67593,0.37228
0.81152,0.24231,0.36121,0.85775,0.2086
0.86658,0.17482,0.45972,0.69364,0.27311
0.509,0.44713,0.22998,0.44979,0.52804
0.34844,0.59187,0.1969,0.20716,0.66049
0.16863,0.70436,0.427,0.41819,0.58123
0.49551,0.56746,0.26294,0.69825,0.60174
0.82471,0.6588,0.39417,0.8609,0.69294
0.85551,0.68639,0.34534,0.68209,0.67972
0.43582,0.61782,0.22986,0.42868,0.54574
0.32974,0.45092,0.19678,0.25517,0.39523
0.20646,0.37817,0.29565,0.17267,0.35828
0.14909,0.28043,0.27942,0.13982,0.23625
0.17336,0.21425,0.29565,0.36601,0.27166
0.57391,0.37664,0.2467,0.7799,0.61324
0.83712,0.63678,0.44373,0.63116,0.66752
0.50628,0.68465,0.21362,0.44797,0.67862
0.39165,0.68056,0.19727,0.35776,0.95957
0.51073,0.46394,0.21375,0.66486,0.39053
0.73679,0.32251,0.24658,0.80189,0.25043
0.88653,0.19735,0.2793,0.8209,0.18604
0.36775,0.17423,0.37781,0.29883,0.19851
0.16247,0.3614,0.41052,0.18487,0.38587
0.70845,0.61446,0.31287,0.72042,0.66808
0.76983,0.67624,0.31189,0.85491,0.73036
0.82376,0.71654,0.34509,0.6502,0.65389
0.56275,0.54714,0.36157,0.75774,0.44487
0.77937,0.43677,1.11743,0.87522,0.47513
0.80912,0.48824,0.2627,0.65739,0.50144
0.6069,0.42814,0.37805,0.59323,0.36962
0.30353,0.30496,0.2301,0.27027,0.3447
0.2894,0.24758,0.24634,0.44378,0.22814
0.53948,0.21118,0.23022,0.76421,0.33691
0.82641,0.35638,0.2793,0.87233,0.45489
0.84911,0.44715,0.29553,0.67904,0.35783
0.46497,0.17131,0.29468,0.28412,0.28833
0.18267,0.37598,0.2467,0.13027,0.43416
0.2311,0.4838,0.21326,0.45004,0.5045
0.64002,0.51641,0.19727,0.74099,0.52406
0.78259,0.56772,0.24634,0.86913,0.61945
0.84487,0.64519,0.46033,0.68837,0.61741
0.53631,0.67057,0.19727,0.49255,0.68467
0.18267,0.58974,0.24634,0.15643,0.50862
0.18846,0.47542,0.24646,0.39477,0.2828
0.52164,0.18942,0.24634,0.72903,0.23348
0.82895,0.26643,0.22986,0.86552,0.33853
0.86609,0.37243,0.29578,0.62013,0.36091
0.2078,0.22411,0.47656,0.35901,0.19127
0.47649,0.16676,0.2793,0.59225,0.18152
0.83941,0.28535,0.27954,0.88454,0.29422
0.85344,0.25139,0.24622,0.61077,0.15262
0.5352,0.18943,0.22998,0.3621,0.36319
0.25881,0.52963,0.21338,0.16422,0.59972
0.14622,0.67896,0.22986,0.11431,0.73103
0.1885,0.68415,0.22986,0.62608,0.41228
0.75803,0.42037,0.50928,0.83573,0.44062
0.83253,0.48815,0.34509,0.65091,0.52958
0.52596,0.63095,0.21338,0.44776,0.67859
0.30484,0.69309,0.19751,0.15192,0.75495
0.18242,0.7596,0.34485,0.48323,0.66432
0.58534,0.57387,0.21375,0.58319,0.50491
0.7212,0.49558,0.2135,0.884,0.47432
0.84676,0.41994,0.29578,0.88054,0.3917
0.80353,0.39071,0.22986,0.49953,0.47543
0.37813,0.50505,0.29565,0.18382,0.5983
0.16723,0.64675,0.42712,0.4,0.60042
0.76254,0.66967,0.27893,0.85779,0.71016
0.85059,0.69843,0.57483,0.69336,0.68015
0.60151,0.67037,0.21362,0.45221,0.72709
0.26659,0.76049,0.19702,0.19341,0.78209
0.20802,0.76965,0.42712,0.46888,0.73423
