FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.54905,0.02975,0.04932,0.52182,0.03254
0.22503,0.94814,0.59131,0.20601,0.98807
0.41574,0.84981,0.19678,0.60186,0.73508
0.58884,0.71749,0.27917,0.55026,0.86767
0.55078,0.71588,0.42737,0.57758,0.73141
0.54854,0.51909,0.31201,0.54863,0.57096
0.51512,0.4788,0.2301,0.35877,0.20449
0.35207,0.24461,0.64075,0.28636,0.22938
0.27,0.28634,0.87048,0.29147,0.32337
0.32817,0.40376,1.13367,0.3202,0.43469
0.32709,0.41959,0.57495,0.38773,0.47178
0.48921,0.50421,0.36121,0.39387,0.45277
0.38014,0.46916,0.59143,0.43449,0.58362
0.33269,0.53808,0.39429,0.31912,0.18767
0.34429,0.18919,0.39429,0.33708,0.12605
0.38361,0.20188,0.24646,0.4551,0.25236
0.43794,0.24658,0.37793,0.48734,0.34517
0.46827,0.33487,0.27905,0.41573,0.60721
0.48559,0.61301,0.26282,0.2624,0.76141
0.33297,0.77266,0.29602,0.47883,0.73275
0.48074,0.71942,0.39429,0.54006,0.68478
0.40166,0.75147,0.2135,0.36,0.7351
0.31244,0.76938,0.24634,0.28753,0.75954
0.31946,0.77629,0.27917,0.40963,0.73425
0.38696,0.59293,0.19702,0.39224,0.45085
0.36004,0.47797,0.31213,0.30706,0.82355
0.2962,0.79188,0.46021,0.30851,0.72028
0.37908,0.73154,0.24658,0.5197,0.73888
0.48014,0.70706,0.37793,0.46182,0.74533
0.49373,0.65143,0.2135,0.48412,0.48933
0.48588,0.11213,0.36145,0.48801,0.2304
0.50933,0.24601,0.2959,0.49665,0.26252
0.50456,0.35436,0.22998,0.47025,0.61424
0.43009,0.70703,0.24658,0.41423,0.72395
0.33849,0.74372,0.24658,0.25234,0.8093
0.27117,0.77207,0.4436,0.29092,0.79843
0.26899,0.80272,0.34497,0.25896,0.69683
0.35397,0.13194,0.26306,0.29401,0.08544
0.29673,0.12465,0.3446,0.26668,0.26409
0.28368,0.77731,0.34497,0.30326,0.75904
0.2845,0.72479,0.57471,0.23747,0.69716
0.30881,0.74782,0.22986,0.36362,0.75563
0.36664,0.78584,0.2793,0.23594,0.77614
0.29454,0.74848,0.55835,0.29703,0.45453
0.31839,0.33889,0.22986,0.44156,0.72138
0.45042,0.80991,0.22986,0.45683,0.72316
0.43812,0.78775,0.29565,0.32917,0.72125
0.31529,0.72162,0.37781,0.44321,0.64212
0.44542,0.56876,0.19714,0.45495,0.16135
0.46188,0.15845,0.29602,0.47605,0.72681
0.47032,0.74944,0.80481,0.45011,0.71511
0.44754,0.74438,0.52563,0.43291,0.78107
0.42279,0.73356,0.72266,0.49864,0.71268
0.44336,0.71037,0.26294,0.38026,0.70171
0.41155,0.72016,0.37769,0.4754,0.71385
0.46575,0.66243,0.4104,0.47331,0.63601
0.51067,0.63431,0.49268,0.51553,0.59965
0.50678,0.54519,0.42725,0.49903,0.47607
0.49858,0.30979,0.19714,0.48359,0.07004
0.49395,0.12807,0.36133,0.45122,0.53427
0.38457,0.6239,0.21362,0.25735,0.71879
0.33645,0.72379,0.21338,0.4663,0.61249
0.50091,0.49969,0.21362,0.50824,0.49438
0.50102,0.48736,0.42725,0.47743,0.47153
0.43263,0.52044,0.06567,0.22113,0.68177
0.23822,0.70622,0.31201,0.24015,0.60345
0.28177,0.22269,0.34497,0.33557,0.49778
0.40894,0.62389,0.24622,0.5097,0.58493
0.41794,0.64759,0.21252,0.28604,0.75839
0.33771,0.7109,0.59119,0.38074,0.70721
0.3717,0.39234,0.2135,0.29339,0.70114
0.29156,0.65015,0.34485,0.46532,0.50056
0.46805,0.48863,0.36121,0.48727,0.54326
0.42045,0.50815,0.64063,0.4872,0.55479
0.41727,0.61661,0.2135,0.36178,0.73193
0.31945,0.68151,0.22986,0.25751,0.62248
0.28982,0.65395,0.42725,0.47124,0.5167
0.48346,0.49862,0.59131,0.28953,0.6461
0.29548,0.66244,0.22998,0.28105,0.66966
0.3354,0.66376,0.4436,0.38272,0.73522
0.34681,0.67725,0.29565,0.25584,0.62651
0.23705,0.63102,0.45984,0.22549,0.68479
0.25815,0.65528,0.39441,0.29031,0.68132
0.38523,0.56659,0.2135,0.4521,0.4998
0.48652,0.50347,0.27917,0.48734,0.54042
0.36855,0.60327,0.21362,0.28348,0.72827
0.30076,0.69068,0.37781,0.3416,0.66903
0.30727,0.64299,0.37781,0.22934,0.66565
0.26985,0.62962,0.42712,0.37581,0.68068
0.47095,0.54248,0.22986,0.48118,0.5883
0.30845,0.63565,0.37781,0.22379,0.63433
0.26512,0.60387,0.39441,0.25338,0.54518
0.2573,0.58102,0.44348,0.29999,0.58431
0.29163,0.55243,0.49304,0.34757,0.45152
0.36673,0.42939,0.427,0.4964,0.36044
0.48062,0.42451,0.37781,0.56128,0.5133
0.43714,0.58489,0.19666,0.36667,0.69406
0.30193,0.66753,0.22986,0.25173,0.70407
0.27419,0.62517,0.37781,0.25195,0.62787
0.26713,0.58,0.91992,0.32913,0.54795
0.4512,0.43678,0.21362,0.39477,0.68471
0.35101,0.65555,0.24646,0.32342,0.61599
0.38883,0.51535,0.21338,0.51234,0.30714
0.62908,0.18126,0.22998,0.4803,0.4674
0.39663,0.48972,0.24646,0.31979,0.50922
0.30222,0.48392,0.4928,0.28934,0.36227
0.30897,0.51866,0.27954,0.33976,0.59996
0.34735,0.58809,0.39429,0.35879,0.51336
0.33716,0.5459,0.54187,0.29385,0.4429
0.31673,0.46375,0.31238,0.38382,0.38918
0.41339,0.42199,0.22998,0.42001,0.15272
0.41457,0.13853,0.37781,0.42247,0.09833
0.40773,0.17286,0.22986,0.40235,0.29559
0.39989,0.31875,0.26294,0.41587,0.59845
0.37797,0.57254,0.59155,0.3363,0.55722
0.35529,0.56632,0.54175,0.33332,0.46454
0.29707,0.56573,0.24646,0.19237,0.4918
0.28878,0.46049,0.2301,0.41266,0.36543
0.30838,0.41809,0.2301,0.28443,0.46195
0.28002,0.44246,0.36169,0.40062,0.55189
0.41331,0.54353,0.32874,0.33164,0.58641
0.37648,0.58457,0.47559,0.40348,0.57767
0.41949,0.57472,0.32837,0.43292,0.53285
0.40085,0.44953,0.21362,0.40588,0.29847
0.40867,0.33966,0.32886,0.41718,0.64898
0.39236,0.61961,0.29565,0.39963,0.51576
0.32986,0.5403,0.32874,0.23214,0.56038
0.30685,0.5899,0.2793,0.41442,0.61572
0.40228,0.59649,0.47632,0.36482,0.68932
0.37914,0.6085,0.22986,0.36806,0.54016
0.33943,0.58395,0.27917,0.29516,0.54462
0.27982,0.56691,0.36157,0.25298,0.58861
0.25749,0.56054,0.55847,0.50331,0.73225
0.46781,0.75189,0.29565,0.36986,0.63758
0.33937,0.67937,0.29565,0.31826,0.57338
0.3066,0.54254,0.50916,0.27693,0.46711
0.30918,0.48466,0.45996,0.31459,0.39104
0.31811,0.52304,0.26294,0.31927,0.57296
0.33302,0.41775,0.26294,0.37163,0.65163
0.34747,0.64132,0.36133,0.30382,0.52397
0.29178,0.46722,0.39429,0.28141,0.42715
0.2941,0.43059,0.73914,0.25833,0.51238
0.33862,0.55801,0.21362,0.47792,0.67811
0.4234,0.59288,0.22998,0.28725,0.49929
0.26186,0.41374,0.26318,0.22441,0.36357
0.23093,0.41064,0.24646,0.34737,0.66454
0.40977,0.75185,0.34509,0.39191,0.68208
0.39734,0.72722,0.39417,0.41918,0.72908
0.51768,0.64549,0.27942,0.40749,0.48403
0.39712,0.48203,0.49292,0.43073,0.56612
0.38955,0.61368,0.2135,0.38615,0.73144
0.40518,0.57551,0.2135,0.39719,0.364
0.414,0.32952,0.32849,0.38832,0.35372
0.39349,0.70034,0.62451,0.4196,0.65286
0.45424,0.63803,0.2793,0.50907,0.5527
0.48724,0.56857,0.34473,0.47011,0.47071
0.44228,0.64947,0.21387,0.40444,0.68205
0.42153,0.6071,0.22998,0.4377,0.55177
0.37864,0.5087,0.29565,0.31574,0.45369
0.34426,0.4787,0.41077,0.29553,0.48966
0.30809,0.46116,0.36133,0.42627,0.67495
0.43968,0.67376,0.31226,0.53359,0.68172
0.37838,0.67072,0.21338,0.16321,0.63181
