FPOGX,FPOGY,FPOGD
0.52945,0.06932,0.41076
0.31603,0.19977,0.32861
0.52601,0.16047,0.21362
0.52123,0.13268,0.27954
0.48983,0.38164,0.45996
0.61976,0.45077,0.42712
0.52413,0.53116,0.21362
0.50812,0.62595,0.27966
0.50551,0.74058,0.64099
0.50725,0.6696,0.427
0.55051,0.5701,0.2627
0.58247,0.40187,0.24622
0.48098,0.36371,0.34521
0.35421,0.30483,1.08423
0.37075,0.45957,0.26294
0.40627,0.34508,0.2467
0.39716,0.22759,0.67346
0.36601,0.28049,0.59131
0.34456,0.49117,0.96912
0.34819,0.4314,0.19714
0.3695,0.33867,0.95264
0.41997,0.37981,0.44348
0.44803,0.42205,0.31152
0.43141,0.56498,0.36133
0.43969,0.62444,0.31213
0.41156,0.66035,0.22998
0.40943,0.62811,0.67383
0.40168,0.69455,0.27795
0.38918,0.77364,0.69006
0.39043,0.37296,0.29553
0.39557,0.65506,0.24683
0.2906,0.59699,0.2135
0.32411,0.3486,0.5094
0.32811,0.3724,0.29553
0.27261,0.35633,0.47656
0.23661,0.40884,0.78833
0.21857,0.50991,0.32849
0.28897,0.67921,0.24658
0.30863,0.77375,0.54199
0.33347,0.5848,0.21362
0.25982,0.68104,0.24634
0.23806,0.59327,0.5094
0.25268,0.61011,0.32861
0.28895,0.68509,0.26282
0.29299,0.73147,0.27917
0.32276,0.33537,0.24646
0.4727,0.74545,0.31213
0.46696,0.80324,0.11487
0.49283,0.36589,0.29553
0.49802,0.38163,0.32874
0.51381,0.31564,0.45984
0.52143,0.12795,0.2135
0.50316,0.37612,0.39441
0.4841,0.50369,0.24634
0.47408,0.59099,0.36133
0.4815,0.71576,0.47632
0.4903,0.67789,0.32849
0.49091,0.65346,0.44373
0.49917,0.72094,0.29565
0.47902,0.77046,1.47852
0.28403,0.67704,0.23059
0.24139,0.37252,0.24622
0.22335,0.39652,0.24634
0.3135,0.65014,0.27905
0.27169,0.42334,0.29541
0.23098,0.51119,0.24622
0.30472,0.7316,0.41052
0.39396,0.42675,0.24646
0.43763,0.56677,0.21387
0.42847,0.39586,0.37756
0.42343,0.68702,0.75562
0.40981,0.36321,0.21362
0.41125,0.71699,0.27881
0.45922,0.495,0.19678
0.48531,0.42719,0.36133
0.53735,0.35827,0.32874
0.5219,0.54697,0.19714
0.43448,0.58491,0.19727
0.35676,0.67427,0.24646
0.36526,0.48853,0.29565
0.33197,0.61373,0.40967
0.33564,0.67866,0.29468
0.35488,0.6784,0.46094
0.38248,0.48016,0.24622
0.3857,0.71116,0.39441
0.24399,0.70549,0.31226
0.26922,0.36581,0.24646
0.25163,0.30223,0.2793
0.2115,0.39603,0.57483
0.24895,0.74982,0.5426
0.35601,0.50372,0.26306
0.37512,0.70733,0.31226
0.45028,0.62036,0.26318
0.46373,0.5092,0.36133
