MEDIA_ID,MEDIA_NAME,CNT,TIME(2015/11/19 17:00:24.081),TIMETICK(f=3117236),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,
0,Games,31,0.50917,53982591411,0.53064,0.11316,0.00000,0.50917,1,1,0.54984,0.30900,1,0.57031,0.39941,0,,0.49213,0.36139,18.01198,1.02871,1,0.84897,0.34911,16.01481,1.03377,1,
0,Games,53,0.87079,53983718695,0.56822,0.45628,0.57489,0.29590,2,1,0.58276,0.41333,1,0.60625,0.48145,0,,0.50125,0.36942,17.73014,1.02703,1,0.85828,0.35613,16.15069,1.03208,1,
0,Games,98,1.60988,53986022600,0.58544,0.50410,0.88713,0.72275,3,1,0.59685,0.41291,1,0.60469,0.50098,0,,0.49790,0.37014,19.95391,1.02197,1,0.85732,0.35165,17.12821,1.01692,1,
0,Games,122,2.00398,53987251117,0.53890,0.45179,1.62624,0.37775,4,1,0.48925,0.41859,1,0.60469,0.50098,0,,0.49507,0.37491,21.27814,0.99670,1,0.85446,0.35164,17.97596,1.00175,1,
0,Games,148,2.43138,53988583405,0.47050,0.36669,2.02051,0.41087,5,1,0.81165,0.41317,1,0.63984,0.51367,0,,0.50497,0.37159,20.56424,1.04219,1,0.86244,0.35255,18.96605,1.04219,1,
0,Games,175,2.87473,53989965418,0.75192,0.43943,2.49699,0.37773,6,1,0.67307,0.45483,1,0.64141,0.51563,0,,0.49707,0.37388,21.34979,1.01186,1,0.85548,0.35107,18.84992,1.00681,1,
0,Games,191,3.13748,53990784485,0.62185,0.50212,2.89110,0.24638,7,1,0.53737,0.55891,1,0.64141,0.51563,0,,0.49604,0.37742,21.72400,1.01186,1,0.85464,0.35536,18.77658,1.01186,1,
0,Games,210,3.44972,53991757831,0.52145,0.48469,3.15439,0.29533,8,1,0.60407,0.41223,1,0.64141,0.51563,0,,0.49841,0.37338,21.41659,1.01186,1,0.85630,0.35291,18.66063,1.00681,1,
0,Games,227,3.72897,53992628322,0.60026,0.43541,3.46611,0.26286,9,1,0.87616,0.44854,1,0.64141,0.51563,0,,0.50550,0.37367,20.72363,1.05348,1,0.86281,0.35524,19.19702,1.04253,1,
0,Games,250,4.10674,53993805874,0.80745,0.46763,3.79460,0.31213,10,1,0.76921,0.50107,1,0.64141,0.51563,0,,0.50792,0.37303,20.54343,0.98659,1,0.86640,0.35654,18.56954,0.98659,1,
0,Games,264,4.33682,53994523136,0.67057,0.39458,4.12320,0.21362,11,1,0.62251,0.30969,1,0.64141,0.51563,0,,0.50583,0.36887,19.80128,1.01692,1,0.86405,0.35175,19.13408,1.02197,1,
0,Games,281,4.61638,53995394549,0.56446,0.34511,4.35321,0.26317,12,1,0.51026,0.29503,1,0.64141,0.51563,0,,0.49735,0.37111,20.80772,1.06241,1,0.85574,0.35083,18.54328,1.06241,1,
