MEDIA_ID,MEDIA_NAME,CNT,TIME(2015/11/12 14:20:02.252),TIMETICK(f=3117216),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,
0,Game,50,0.82136,20530946522,0.52523,0.08082,0.00000,0.82136,1,1,0.48942,0.20265,1,0.49531,0.24707,0,,0.22995,0.45185,19.83776,0.89551,1,0.62212,0.45939,16.71800,0.89345,1,
0,Game,75,1.23199,20532226558,0.46642,0.37985,0.88710,0.34489,2,1,0.56845,0.38527,1,0.52734,0.38770,0,,0.23393,0.46035,18.99885,0.91051,1,0.62683,0.47080,18.42115,0.91217,1,
0,Game,133,2.18486,20535196853,0.53548,0.37962,1.24836,0.93650,3,1,0.53102,0.43727,0,0.53203,0.38770,0,,0.24847,0.47069,7.12725,0.91766,0,0.63575,0.47947,12.61728,0.91560,0,
0,Game,165,2.71061,20536835734,0.33913,0.93025,2.39836,0.31225,4,1,0.28410,0.95383,1,0.40078,0.72363,0,,0.20866,0.47275,19.76912,0.91070,1,0.60222,0.47619,18.78685,0.91600,1,
0,Game,195,3.20335,20538371709,0.14929,0.95631,2.77621,0.42712,5,1,0.10027,0.95460,1,0.19766,0.91113,0,,0.21833,0.47304,19.68074,0.92158,1,0.60968,0.47853,17.54145,0.92688,1,
0,Game,225,3.69609,20539907690,0.13874,0.95720,3.21973,0.47636,6,1,0.31787,0.72138,1,0.11875,0.97949,0,,0.20607,0.47085,16.45241,0.91041,1,0.59963,0.46927,15.97540,0.91570,1,
0,Game,253,4.15611,20541341653,0.51972,0.50709,3.76186,0.39425,7,1,0.54791,0.43273,1,0.15313,0.95801,0,,0.23802,0.45703,17.13304,0.91111,1,0.62872,0.47029,14.92473,0.91277,1,
0,Game,273,4.48471,20542365962,0.54772,0.46837,4.17258,0.31213,8,1,0.44253,0.72458,1,0.48516,0.70313,0,,0.24256,0.45972,17.02094,0.94117,1,0.63293,0.48006,16.53964,0.94284,1,
0,Game,295,4.84610,20543492523,0.48049,0.74797,4.55047,0.29563,9,1,0.49374,1.07296,1,0.55391,0.70215,0,,0.23757,0.49964,20.32062,0.95341,1,0.62835,0.51283,18.34937,0.95870,1,
0,Game,316,5.19110,20544567941,0.54946,1.89320,4.91198,0.27911,10,1,0.50686,1.94012,1,0.55391,0.70215,0,,0.20280,0.55824,19.73907,0.89923,1,0.59292,0.56640,17.74172,0.90453,1,
0,Game,334,5.48669,20545489406,0.50801,1.94222,5.20744,0.27927,11,1,0.50812,1.74951,0,0.55391,0.70215,0,,0.16650,0.52577,15.62776,0.92492,0,0.56006,0.51868,14.76845,0.93021,0,
0,Game,366,6.01258,20547128688,0.46292,0.62902,5.70033,0.31225,12,1,0.48570,0.67995,1,0.55391,0.70215,0,,0.26975,0.48734,18.80322,0.91766,1,0.66477,0.50327,17.62303,0.91933,1,
0,Game,401,6.58757,20548921068,0.45139,0.67281,6.02869,0.55888,13,1,0.43983,0.69701,1,0.55391,0.70215,0,,0.24319,0.51275,21.94868,0.90698,1,0.64018,0.50229,20.86274,0.90855,1,
0,Game,450,7.39216,20551429147,0.46036,0.69923,6.60381,0.78835,14,1,0.50826,0.68856,1,0.55391,0.70117,0,,0.17351,0.52717,23.54197,0.89633,1,0.57321,0.49673,22.40509,0.90163,1,
0,Game,502,8.24654,20554092427,0.56619,0.68921,7.40879,0.83775,15,1,0.49029,0.71273,1,0.71797,0.91895,0,,0.18740,0.49040,25.36492,0.87173,1,0.59476,0.48695,22.48959,0.87702,1,
0,Game,663,10.89126,20562336580,0.47478,0.69795,8.26292,2.62834,16,1,0.50542,0.69251,1,0.52578,0.78418,0,,0.13754,0.50895,25.67539,0.86850,1,0.54598,0.47008,22.15839,0.87330,1,
0,Game,700,11.49915,20564231511,0.49495,0.67919,10.90779,0.59136,17,1,0.58780,0.59444,1,0.52578,0.78418,0,,0.09754,0.49301,24.90766,0.87164,1,0.50587,0.46599,21.33932,0.87321,1,
0,Game,710,11.66353,20564743915,0.57341,0.62624,11.51575,0.14777,18,1,0.58469,0.67159,1,0.52578,0.78418,0,,0.05103,0.51076,24.97421,0.85951,1,0.45959,0.45403,21.87648,0.86431,1,
0,Game,738,12.12337,20566177389,0.49669,1.80143,11.92614,0.19724,19,1,0.46193,1.19231,1,0.52578,0.78418,0,,0.02650,0.54997,17.39651,0.86628,1,0.42919,0.49157,20.15306,0.87480,1,
0,Game,773,12.69852,20567970208,0.54358,0.62210,12.18912,0.50940,20,1,0.52842,0.66752,1,0.52578,0.78418,0,,0.14378,0.47617,16.82487,0.88935,1,0.54314,0.49101,16.94695,0.89092,1,
0,Game,801,13.15842,20569403844,0.48804,0.67903,12.71474,0.44367,21,1,0.46457,0.69273,1,0.52578,0.78418,0,,0.22091,0.48425,19.89667,0.92139,1,0.61765,0.51060,19.31869,0.91933,1,
0,Game,827,13.58549,20570735127,0.44677,0.68752,13.17477,0.41074,22,1,0.37438,0.68832,1,0.52578,0.78418,0,,0.20980,0.48873,21.91537,0.92884,1,0.60878,0.50389,21.11415,0.93413,1,
0,Game,881,14.47249,20573500054,0.39076,0.70017,13.60179,0.87070,23,1,0.37716,0.76249,1,0.52578,0.78418,0,,0.16826,0.49978,22.58097,0.90018,1,0.57146,0.49269,20.83497,0.90185,1,
0,Game,907,14.89946,20574831028,0.37630,0.76004,14.48898,0.41048,24,1,0.37935,0.82591,1,0.52578,0.78418,0,,0.14556,0.51792,24.75569,0.89026,1,0.55028,0.49949,22.31489,0.89174,1,
0,Game,924,15.17900,20575702376,0.43701,0.79449,14.91610,0.26289,25,1,0.48955,0.78439,1,0.52578,0.78418,0,,0.15093,0.51880,25.23053,0.87569,1,0.55550,0.49955,22.19670,0.88048,1,
0,Game,951,15.62236,20577084444,0.51802,0.77912,15.19536,0.42700,26,1,0.57613,0.77812,1,0.52578,0.78418,0,,0.16129,0.51880,24.01947,0.88959,1,0.56456,0.50772,20.84598,0.89489,1,
0,Game,1009,16.57522,20580054721,0.57171,0.78493,15.63873,0.93649,27,1,0.60350,0.81113,1,0.52578,0.78418,0,,0.16967,0.53058,24.69582,0.89188,1,0.57310,0.52360,21.07153,0.88982,1,
0,Game,1033,16.96960,20581284081,0.52421,1.94472,16.73949,0.23011,28,1,0.55234,1.79030,1,0.52578,0.78418,0,,0.16369,0.57093,22.73152,0.86179,1,0.56300,0.55995,20.19320,0.86659,1,
0,Game,1056,17.34722,20582461187,0.62082,0.80930,17.08446,0.26276,29,1,0.70632,0.83525,1,0.52578,0.78418,0,,0.20041,0.50429,17.87849,0.89551,1,0.59810,0.51106,16.69402,0.89708,1,
0,Game,1073,17.62645,20583331637,0.75366,0.82207,17.36398,0.26247,30,1,0.80946,0.79253,1,0.52578,0.78418,0,,0.22761,0.48651,18.73290,0.89580,1,0.62406,0.50819,17.09473,0.89737,1,
0,Game,1104,18.13687,20584922704,0.80783,0.80247,17.64294,0.49391,31,1,0.81824,0.78382,1,0.52578,0.78418,0,,0.24672,0.48592,21.62853,0.90325,1,0.64191,0.51526,19.88341,0.90855,1,
0,Game,1141,18.74355,20586813867,0.82519,0.77769,18.15236,0.59119,32,1,0.79242,0.76090,1,0.99922,0.61523,0,,0.23579,0.49160,24.10853,0.87495,1,0.63285,0.51238,21.11260,0.88025,1,
0,Game,1177,19.33533,20588658587,0.81272,0.72205,18.75993,0.57541,33,1,0.84616,0.63151,1,0.99922,0.61523,0,,0.23855,0.48872,23.93663,0.92521,1,0.63478,0.50938,21.43371,0.92678,1,
0,Game,1207,19.82808,20590194579,0.83752,0.65016,19.35143,0.47665,34,1,0.83575,0.62435,1,0.99922,0.61523,0,,0.23671,0.48565,21.86455,0.89322,1,0.63170,0.50530,20.47452,0.89148,1,
0,Game,1236,20.30446,20591679561,0.79394,0.61688,19.84431,0.46014,35,1,0.75186,0.60431,1,0.99922,0.61523,0,,0.23578,0.48694,22.64016,0.88240,1,0.63135,0.50644,20.69051,0.88770,1,
0,Game,1307,21.47066,20595314912,0.75018,0.64050,20.32067,1.15001,36,1,0.73214,0.60571,1,0.99922,0.61523,0,,0.24210,0.48914,23.40154,0.89220,1,0.63754,0.51548,20.72367,0.89045,1,
0,Game,1335,21.93068,20596748843,0.71401,0.62145,21.48705,0.44363,37,1,0.76661,0.69152,1,0.99922,0.61523,0,,0.24613,0.49385,23.89982,0.89680,1,0.64103,0.52083,20.53784,0.90532,1,
0,Game,1363,22.39054,20598182317,0.70657,0.67175,21.94704,0.44348,38,1,0.65304,0.66066,1,0.99922,0.61523,0,,0.23585,0.49158,24.58234,0.91394,1,0.63250,0.51454,21.24401,0.91561,1,
0,Game,1401,23.01464,20600127795,0.66073,0.63236,22.40704,0.60760,39,1,0.73220,0.59745,1,0.99922,0.61523,0,,0.21269,0.49172,23.99349,0.88888,1,0.61110,0.49450,20.26226,0.88714,1,
0,Game,1420,23.32692,20601101231,0.74906,0.60222,23.03132,0.29560,40,1,0.78676,0.60752,1,0.99922,0.61523,0,,0.19277,0.49665,22.99472,0.90315,1,0.59283,0.48685,20.53638,0.90845,1,
0,Game,1469,24.13190,20603610507,0.81978,0.61270,23.34352,0.78838,41,1,0.82868,0.65308,1,0.99922,0.61523,0,,0.20843,0.50222,24.27170,0.90047,1,0.60566,0.50404,21.80357,0.90577,1,
0,Game,1490,24.47689,20604685911,0.84217,0.65582,24.14828,0.32859,42,1,0.84091,0.71122,1,0.99922,0.61523,0,,0.21824,0.49215,23.94430,0.87495,1,0.61309,0.49619,21.96000,0.87652,1,
0,Game,1550,25.46252,20607758355,0.84616,0.68758,24.49328,0.96924,43,1,0.79855,0.73758,1,0.99922,0.61523,0,,0.26033,0.46543,25.74639,0.87868,1,0.65693,0.51055,22.98503,0.88720,1,
0,Game,1617,26.56317,20611189308,0.77969,0.71392,25.47890,1.08427,44,1,0.74576,0.72361,1,0.99922,0.61523,0,,0.25106,0.48071,25.31124,0.91021,1,0.64760,0.51580,21.33890,0.91188,1,
0,Game,1661,27.28587,20613442126,0.72136,0.69375,26.57952,0.70635,45,1,0.68174,0.72189,1,0.99922,0.61523,0,,0.24468,0.50104,22.97700,0.86850,1,0.64246,0.53656,19.97303,0.87007,1,
0,Game,1685,27.68023,20614671445,0.68226,0.71791,27.30224,0.37799,46,1,0.65756,0.76016,1,0.99922,0.61523,0,,0.22786,0.50373,24.20600,0.88906,1,0.62821,0.52652,20.80750,0.88700,1,
0,Game,1712,28.12361,20616053553,0.65275,0.75051,27.69650,0.42712,47,1,0.62409,0.79076,1,0.99922,0.61523,0,,0.20325,0.51258,24.26135,0.88613,1,0.60602,0.51966,21.09761,0.89092,1,
0,Game,1743,28.63312,20617641806,0.61113,0.77514,28.14041,0.49271,48,1,0.57898,0.76678,1,0.99922,0.61523,0,,0.21011,0.51027,24.30716,0.89551,1,0.61168,0.52129,21.37220,0.89708,1,
0,Game,1783,29.29015,20619689899,0.57462,0.76778,28.65088,0.63927,49,1,0.53495,0.72976,1,0.99922,0.61523,0,,0.20516,0.50908,23.77521,0.91041,1,0.60683,0.51803,20.88837,0.91570,1,
0,Game,1826,29.99660,20621892090,0.51699,0.68251,29.30647,0.69013,50,1,0.49947,0.65236,1,0.99922,0.61523,0,,0.19486,0.51184,24.49996,0.90678,1,0.59567,0.51657,22.15431,0.91208,1,
0,Game,1849,30.37449,20623070025,0.47847,0.65337,30.01272,0.36177,51,1,0.46547,0.61194,1,0.99922,0.61523,0,,0.19594,0.51172,24.67843,0.91796,1,0.59689,0.51572,22.19171,0.91963,1,
0,Game,1874,30.78496,20624349553,0.41673,0.64970,30.39071,0.39425,52,1,0.46849,0.67003,1,0.99922,0.61523,0,,0.19564,0.51041,24.64529,0.88985,1,0.59651,0.51635,22.26167,0.89515,1,
