MEDIA_ID,MEDIA_NAME,CNT,TIME(2015/11/12 14:42:37.814),TIMETICK(f=3117216),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,
0,Game,25,0.41077,24755027835,0.52945,0.06932,0.00000,0.41076,1,1,0.39362,0.16616,1,0.52188,0.09570,0,,0.25301,0.47056,20.07471,0.91343,1,0.64371,0.47112,16.68324,0.91137,1,
0,Game,49,0.80493,24756256528,0.31603,0.19977,0.47632,0.32861,2,1,0.50727,0.27217,1,0.52188,0.09570,0,,0.26020,0.47407,18.15026,0.91745,1,0.65075,0.47719,17.36889,0.91911,1,
0,Game,66,1.08423,24757127329,0.52601,0.16047,0.87061,0.21362,3,1,0.53176,0.12027,1,0.52188,0.09570,0,,0.26329,0.46614,18.89181,0.89931,1,0.65418,0.47188,16.72747,0.90460,1,
0,Game,84,1.38013,24758049598,0.52123,0.13268,1.10059,0.27954,4,1,0.51117,0.36328,1,0.52188,0.09570,0,,0.26643,0.47435,17.60373,0.91745,1,0.65635,0.48213,16.06518,0.91911,1,
0,Game,116,1.90564,24759687632,0.48983,0.38164,1.44568,0.45996,5,1,0.49745,0.41087,1,0.52188,0.09570,0,,0.26808,0.47796,17.34636,0.93588,1,0.65956,0.48699,17.65432,0.94117,1,
0,Game,146,2.39832,24761223579,0.61976,0.45077,1.97119,0.42712,6,1,0.58962,0.44338,1,0.52188,0.09570,0,,0.27471,0.48170,17.14284,0.94066,1,0.66609,0.49327,17.22500,0.93860,1,
0,Game,160,2.62842,24761940694,0.52413,0.53116,2.41479,0.21362,7,1,0.49838,0.56185,1,0.52969,0.34668,0,,0.27024,0.49036,17.36077,0.93950,1,0.66160,0.50273,17.30695,0.94117,1,
0,Game,178,2.92432,24762863303,0.50812,0.62595,2.64465,0.27966,8,1,0.49391,0.75490,1,0.49453,0.60645,0,,0.23685,0.50314,17.57067,0.92981,1,0.62868,0.51153,16.53167,0.93933,1,
0,Game,218,3.58142,24764911336,0.50551,0.74058,2.94043,0.64099,9,1,0.48540,0.70190,1,0.48516,0.81250,0,,0.24552,0.49143,16.28430,0.92097,1,0.63979,0.50053,16.31972,0.92264,1,
0,Game,245,4.02466,24766293284,0.50725,0.66960,3.59766,0.42700,10,1,0.53638,0.60934,1,0.52578,0.72461,0,,0.26039,0.48694,16.25428,0.91715,1,0.65579,0.50184,16.22326,0.91509,1,
0,Game,262,4.30396,24767163841,0.55051,0.57010,4.04126,0.26270,11,1,0.63986,0.40575,1,0.56094,0.68555,0,,0.26946,0.48402,14.62201,0.91372,1,0.66385,0.50111,14.95359,0.91166,1,
0,Game,281,4.61609,24768136729,0.58247,0.40187,4.36987,0.24622,12,1,0.51801,0.37356,1,0.56953,0.56836,0,,0.27002,0.48133,14.73022,0.90264,1,0.66449,0.50022,14.07538,0.90794,1,
0,Game,303,4.97766,24769263707,0.48098,0.36371,4.63245,0.34521,13,1,0.35589,0.32289,1,0.51797,0.49414,0,,0.26191,0.47955,16.34548,0.86480,1,0.65834,0.49458,15.01000,0.86637,1,
0,Game,370,6.07813,24772694435,0.35421,0.30483,4.99390,1.08423,14,1,0.36098,0.48953,1,0.38203,0.47363,0,,0.22895,0.48453,17.31763,0.88441,1,0.62639,0.48337,16.76126,0.88597,1,
0,Game,390,6.40662,24773718101,0.37075,0.45957,6.14368,0.26294,15,1,0.36267,0.39077,1,0.38203,0.47363,0,,0.22918,0.48345,17.57022,0.88813,1,0.62628,0.48180,16.63534,0.89343,1,
0,Game,406,6.66980,24774538742,0.40627,0.34508,6.42310,0.24670,16,1,0.43187,0.32800,1,0.41641,0.31836,0,,0.23026,0.47021,17.09801,0.87574,1,0.62787,0.46244,16.08681,0.88425,1,
0,Game,448,7.35950,24776688753,0.39716,0.22759,6.68604,0.67346,17,1,0.37115,0.26404,1,0.43047,0.15527,0,,0.23354,0.46216,17.66923,0.88349,1,0.63419,0.44384,15.61943,0.88143,1,
0,Game,485,7.96729,24778583258,0.36601,0.28049,7.37598,0.59131,18,1,0.31863,0.37533,1,0.46094,0.27637,0,,0.22695,0.44950,17.86436,0.88239,1,0.62809,0.43612,16.97347,0.88396,1,
0,Game,548,9.00220,24781809151,0.34456,0.49117,8.03308,0.96912,19,1,0.32102,0.65212,1,0.46094,0.27637,0,,0.18858,0.48187,18.39639,0.87151,1,0.59431,0.46687,17.19191,0.87630,1,
0,Game,564,9.26501,24782628589,0.34819,0.43140,9.06787,0.19714,20,1,0.37208,0.32792,1,0.46094,0.27637,0,,0.18795,0.46883,18.46686,0.82782,1,0.59268,0.45410,16.02600,0.83219,1,
0,Game,623,10.23438,24785650350,0.36950,0.33867,9.28174,0.95264,21,1,0.40028,0.36816,1,0.46094,0.27637,0,,0.17546,0.47415,19.58235,0.87142,1,0.58028,0.45140,18.30043,0.87299,1,
0,Game,651,10.69421,24787083740,0.41997,0.37981,10.25073,0.44348,22,1,0.45258,0.39171,1,0.46094,0.27637,0,,0.18769,0.47004,19.35698,0.86828,1,0.59287,0.45234,17.84877,0.87308,1,
0,Game,671,11.02271,24788107759,0.44803,0.42205,10.71118,0.31152,23,1,0.40030,0.50429,1,0.46094,0.27637,0,,0.19245,0.47450,17.83229,0.84537,1,0.59770,0.45978,17.83700,0.85016,1,
0,Game,694,11.40076,24789286155,0.43141,0.56498,11.03943,0.36133,24,1,0.46916,0.60830,1,0.46094,0.27637,0,,0.19361,0.48314,18.27459,0.85504,1,0.59948,0.47052,17.59846,0.85652,1,
0,Game,714,11.72913,24790309806,0.43969,0.62444,11.41699,0.31213,25,1,0.42659,0.71121,1,0.46094,0.27637,0,,0.19110,0.49216,16.81838,0.85835,1,0.59721,0.47826,16.43185,0.85992,1,
0,Game,732,12.02478,24791231197,0.41156,0.66035,11.79480,0.22998,26,1,0.41896,0.62263,1,0.46094,0.27637,0,,0.19458,0.48982,17.13774,0.87447,1,0.60036,0.47798,16.51166,0.87604,1,
