MEDIA_ID,MEDIA_NAME,CNT,TIME(2015/11/19 15:02:21.975),TIMETICK(f=3117236),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,
0,Games,3813,62.63757,32099857946,0.49194,0.22278,62.30896,0.32861,184,1,0.43089,0.27062,1,0.34531,0.56055,0,,0.20962,0.78034,22.73689,0.96530,1,0.55822,0.68793,21.00418,0.97265,1,
0,Games,3827,62.86731,32100574087,0.34595,0.30962,62.65369,0.21362,185,1,0.25416,0.37944,1,0.34609,0.56543,0,,0.19589,0.79062,21.99593,0.98930,1,0.54388,0.69289,20.31783,0.98623,1,
0,Games,3851,63.26154,32101803040,0.21800,0.38138,62.93317,0.32837,186,1,0.54349,0.29625,1,0.34688,0.55469,0,,0.20062,0.78781,22.15254,0.97922,1,0.55067,0.69101,19.80191,0.98657,1,
0,Games,3867,63.52454,32102622892,0.90075,0.48424,63.32751,0.19702,187,1,1.41098,0.83849,0,0.34688,0.55469,0,,0.23489,0.78951,7.44119,0.98435,0,0.58010,0.70063,14.50319,0.99170,0,
0,Games,3910,64.23090,32104824853,0.86298,0.56674,63.73792,0.49298,188,1,0.70783,0.55618,1,0.34688,0.55762,0,,0.24495,0.77485,22.95111,0.96046,1,0.59755,0.70218,19.85186,0.96781,1,
0,Games,3927,64.51013,32105695257,0.48171,0.33416,64.29639,0.21375,189,1,0.34838,0.21056,1,0.34688,0.56152,0,,0.22704,0.76932,21.38630,0.98947,1,0.57713,0.69183,20.08261,0.99170,1,
0,Games,3947,64.83862,32106719281,0.26499,0.26263,64.57574,0.26288,190,1,0.20935,0.32947,1,0.34688,0.56152,0,,0.21289,0.77899,20.24874,0.98706,1,0.56222,0.69379,18.97133,0.98928,1,
0,Games,3972,65.24927,32107999303,0.14075,0.62660,64.90454,0.34473,191,1,0.37862,0.65368,1,0.51563,0.97656,0,,0.19647,0.78717,22.43388,0.92918,1,0.54802,0.69841,20.59250,0.93653,1,
0,Games,3997,65.65985,32109279249,0.72141,0.45579,65.31512,0.34473,192,1,0.89489,0.47140,1,0.45703,0.71387,0,,0.21930,0.78259,23.03829,0.94107,1,0.56871,0.69545,19.81676,0.94752,1,
0,Games,4023,66.08698,32110610654,0.87409,0.45988,65.72577,0.36121,193,1,0.72712,0.63548,1,0.42969,0.70313,0,,0.23597,0.77405,24.86974,0.92918,1,0.58608,0.69678,21.35814,0.93653,1,
0,Games,4040,66.36621,32111481152,0.60633,0.57022,66.15277,0.21344,194,1,0.48399,0.48957,1,0.39375,0.63965,0,,0.21227,0.77361,24.43075,0.99460,1,0.56228,0.68642,21.12961,0.99665,1,
0,Games,4058,66.66211,32112403444,0.34606,0.37334,66.43237,0.22974,195,1,0.27480,0.28822,1,0.37266,0.22363,0,,0.18503,0.77100,23.95304,0.96460,1,0.53219,0.67344,21.78360,0.96665,1,
0,Games,4087,67.13837,32113888090,0.19846,0.20808,66.72784,0.41052,196,1,0.39623,0.33694,1,0.36875,0.41699,0,,0.18694,0.77587,22.59463,0.97060,1,0.53516,0.67724,19.85553,0.97705,1,
0,Games,4106,67.45044,32114860936,0.66362,0.45598,67.20422,0.24622,197,1,0.89779,0.40575,1,0.35938,0.48535,0,,0.21935,0.77571,22.44085,0.98930,1,0.56892,0.68679,18.10918,0.98623,1,
0,Games,4127,67.79559,32115936817,0.88908,0.39004,67.51636,0.27924,198,1,0.92381,0.33748,1,0.35781,0.49707,0,,0.24181,0.76201,21.64464,0.93402,1,0.59302,0.69153,18.90252,0.94046,1,
0,Games,4143,68.05835,32116755852,0.85558,0.34817,67.81183,0.24652,199,1,0.61805,0.43843,1,0.36250,0.57031,0,,0.23309,0.76864,22.56854,0.93988,1,0.58420,0.69905,19.09684,0.94723,1,
0,Games,4160,68.33759,32117626321,0.53058,0.50293,68.12408,0.21350,200,1,0.40321,0.71167,1,0.36250,0.62695,0,,0.21813,0.78408,23.01532,0.98947,1,0.56930,0.70888,21.36617,0.98698,1,
0,Games,4178,68.63336,32118548238,0.29092,0.77737,68.40375,0.22961,201,1,0.17865,0.74425,1,0.36719,0.69141,0,,0.20142,0.79182,23.78981,0.95944,1,0.55294,0.70977,21.41418,0.95636,1,
0,Games,4197,68.94531,32119520762,0.16590,0.71603,68.65009,0.29523,202,1,0.36966,0.64024,1,0.37031,0.67676,0,,0.20065,0.79161,23.31827,0.96879,1,0.55219,0.70525,21.11202,0.96571,1,
0,Games,4213,69.20844,32120341014,0.66828,0.41561,69.01123,0.19720,203,1,0.80001,0.22137,1,0.37031,0.67676,0,,0.22226,0.77529,22.98127,0.96349,1,0.57212,0.69384,19.91699,0.97084,1,
0,Games,4231,69.50391,32121262078,0.86657,0.19320,69.27411,0.22980,204,1,0.91490,0.14227,1,0.37031,0.67676,0,,0.23354,0.76968,22.15927,0.96879,1,0.58331,0.69269,19.62061,0.97084,1,
0,Games,4249,69.79968,32122184032,0.90705,0.22023,69.52063,0.27905,205,1,0.86358,0.41189,1,0.37031,0.67676,0,,0.22962,0.77701,23.02218,0.93868,1,0.58041,0.69873,19.13137,0.93560,1,
0,Games,4265,70.06244,32123003010,0.70122,0.46707,69.86530,0.19714,206,1,0.57889,0.51169,1,0.37266,0.61328,0,,0.21641,0.78410,21.48164,0.96046,1,0.56709,0.70172,18.51116,0.96781,1,
0,Games,4282,70.34167,32123873529,0.43945,0.54661,70.12830,0.21338,207,1,0.33020,0.59388,1,0.37422,0.62793,0,,0.19687,0.79439,22.04274,0.98965,1,0.54624,0.70220,20.20879,0.98657,1,
0,Games,4299,70.62109,32124744473,0.20717,0.69984,70.40753,0.21356,208,1,0.16996,0.73515,1,0.39063,0.79004,0,,0.18338,0.80321,22.62527,0.94632,1,0.53253,0.70709,19.81798,0.94855,1,
0,Games,4312,70.83484,32125410762,0.29232,0.58482,70.63757,0.19727,209,1,0.52599,0.22692,1,0.39063,0.79004,0,,0.19422,0.78940,21.80450,0.97409,1,0.54198,0.69376,18.77322,0.98144,1,
